combo,count,win_rate,avg_return
分≥0.70 资≥0.80 P34_gap+P35_cover,9,0.6667,0.9244
分0.55-0.60 资≥0.80 P34_gap-P36,28,0.6429,2.1664
分0.60-0.70 资≥0.80 P34_gap-P36,58,0.6379,2.1193
分0.60-0.70 资≥0.80 P34_gap,66,0.6061,1.8748
分0.60-0.70 资≥0.80 P34_gap+P35_cover,33,0.6061,2.4979
分0.55-0.60 资≥0.80 P34_gap+P35_cover,15,0.6,1.542
分0.60-0.70 资0.70-0.80 P34_gap,9,0.5556,0.6778
分0.60-0.70 资0.70-0.80 P34_gap-P36,9,0.5556,0.6778
分0.55-0.60 资≥0.80 P34_gap,36,0.5278,1.4889
分0.60-0.70 资≥0.80 P37_up,6,0.5,-0.5167
分≥0.70 资≥0.80 大盘>500亿,7,0.4286,-0.1157
分≥0.70 资≥0.80 P34_gap,17,0.4118,0.4471
分≥0.70 资≥0.80 P34_gap-P36,17,0.4118,0.4471
分0.60-0.70 资≥0.80 大盘>500亿,66,0.4091,0.2432
分0.55-0.60 资≥0.80 大盘>500亿,47,0.2128,-0.4232
分0.55-0.60 资0.70-0.80 P34_gap,7,0.0,-1.2486
分0.55-0.60 资0.70-0.80 P34_gap-P36,7,0.0,-1.2486
