combo,count,win_rate,avg_return
分0.60-0.70 资≥0.80 P34_gap,17,0.5882,1.0676
分0.60-0.70 资≥0.80 P34_gap-P36,17,0.5882,1.0676
分≥0.70 资≥0.80 P34_gap,11,0.4545,0.0818
分≥0.70 资≥0.80 P34_gap-P36,11,0.4545,0.0818
分0.60-0.70 资0.70-0.80 大盘>500亿,6,0.3333,-0.06
分0.55-0.60 资≥0.80 大盘>500亿,25,0.32,-0.19
分≥0.70 资≥0.80 大盘>500亿,27,0.2963,-0.4263
分0.55-0.60 资0.70-0.80 大盘>500亿,7,0.2857,-0.5257
分0.60-0.70 资≥0.80 大盘>500亿,90,0.2778,-0.3142
