combo,count,win_rate,avg_return
分≥0.70 资≥0.80 P34_gap,5,1.0,9.364
分≥0.70 资≥0.80 P34_gap-P36,5,1.0,9.364
分0.60-0.70 资0.70-0.80 大盘>500亿,7,0.8571,1.4629
分≥0.70 资≥0.80 大盘>500亿,11,0.8182,1.9227
分≥0.70 资≥0.80 P37_up,15,0.7333,3.888
分0.60-0.70 资≥0.80 P37_up,8,0.5,1.4125
分0.55-0.60 资≥0.80 P37_up,8,0.5,1.3662
分0.60-0.70 资≥0.80 大盘>500亿,9,0.4444,0.0589
分≥0.70 资0.70-0.80 P37_up,13,0.3846,0.0854
分0.60-0.70 资0.70-0.80 P37_up,8,0.375,0.3725
分0.55-0.60 资0.70-0.80 P37_up,11,0.3636,0.0118
