代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
603308,应流股份,0.6648,68.18,70.1,2.82,胜
688403,汇成股份,0.6502,30.05,30.53,1.6,胜
688981,中芯国际,0.6407,140.7,140.78,0.06,胜
002821,凯莱英,0.6366,123.82,123.39,-0.35,负
002044,美年健康,0.6324,5.6,5.4,-3.57,负
688795,摩尔线程-U,0.6324,669.0,668.97,-0.0,平
002475,立讯精密,0.628,69.93,70.7,1.1,胜
688205,德科立,0.6271,252.4,250.0,-0.95,负
688450,光格科技,0.627,51.81,51.5,-0.6,负
603259,药明康德,0.6238,102.72,103.16,0.43,胜
300672,国科微,0.6232,330.55,335.0,1.35,胜
603083,剑桥科技,0.6203,214.54,225.3,5.02,胜
300433,蓝思科技,0.6201,55.77,56.89,2.01,胜
688521,芯原股份,0.6189,274.0,274.18,0.07,胜
002655,共达电声,0.6171,42.61,46.86,9.97,胜
688352,颀中科技,0.6149,19.1,19.37,1.41,胜
002600,领益智造,0.6131,16.82,16.88,0.36,胜
300179,四方达,0.6123,47.9,56.54,18.04,胜
300857,协创数据,0.6113,277.76,283.31,2.0,胜
688018,乐鑫科技,0.6097,127.96,125.89,-1.62,负
600172,黄河旋风,0.6096,14.01,15.41,9.99,胜
688693,锴威特,0.6088,107.08,109.03,1.82,胜
688041,海光信息,0.6087,328.0,330.0,0.61,胜
300373,扬杰科技,0.6061,123.13,130.0,5.58,胜
688802,沐曦股份-U,0.6028,769.89,765.96,-0.51,负
688172,燕东微,0.6025,75.01,75.01,0.0,平
688027,国盾量子,0.6019,528.03,524.0,-0.76,负
688486,龙迅股份,0.5993,56.79,57.68,1.57,胜
300066,三川智慧,0.5968,6.95,7.15,2.88,胜
688416,恒烁股份,0.5967,144.9,146.01,0.77,胜
300782,卓胜微,0.5941,106.1,109.88,3.56,胜
688048,长光华芯,0.5941,391.07,391.0,-0.02,负
688001,华兴源创,0.5941,81.09,81.0,-0.11,负
603269,海鸥股份,0.5934,24.28,24.43,0.62,胜
688702,盛科通信-U,0.5914,337.0,330.0,-2.08,负
688313,仕佳光子,0.5889,175.44,181.0,3.17,胜
600345,长江通信,0.5878,64.78,66.5,2.66,胜
300322,硕贝德,0.5872,30.73,30.95,0.72,胜
688627,精智达,0.586,566.0,561.18,-0.85,负
603757,大元泵业,0.5853,56.06,56.06,0.0,平
688123,聚辰股份,0.5851,138.91,138.9,-0.01,负
688135,利扬芯片,0.5851,39.5,39.15,-0.89,负
688047,龙芯中科,0.585,146.49,146.47,-0.01,负
601138,工业富联,0.5842,78.08,78.08,0.0,平
301678,新恒汇,0.5833,64.05,64.26,0.33,胜
688141,杰华特,0.5829,142.93,142.96,0.02,胜
301018,申菱环境,0.5821,116.31,116.3,-0.01,负
688347,华虹宏力,0.578,277.81,280.02,0.8,胜
688159,有方科技,0.5777,49.0,49.27,0.55,胜
601869,长飞光纤,0.5772,471.55,494.78,4.93,胜
688202,美迪西,0.5771,56.99,56.07,-1.61,负
300548,长芯博创,0.5768,281.99,300.0,6.39,胜
688766,普冉股份,0.5747,590.0,600.0,1.69,胜
002897,意华股份,0.5731,96.8,101.6,4.96,胜
001267,汇绿生态,0.573,58.1,60.0,3.27,胜
603052,可川科技,0.5724,95.68,95.0,-0.71,负
688691,灿芯股份,0.5722,106.58,106.21,-0.35,负
300308,中际旭创,0.5718,1367.88,1367.78,-0.01,负
688213,思特威-W,0.5707,102.32,103.0,0.66,胜
688333,铂力特,0.5705,107.28,110.0,2.54,胜
688449,联芸科技,0.57,75.83,78.0,2.86,胜
603803,瑞斯康达,0.5689,13.03,13.1,0.54,胜
301419,阿莱德,0.5687,45.6,44.45,-2.52,负
300567,精测电子,0.5684,213.86,218.14,2.0,胜
300671,富满微,0.5676,60.47,62.0,2.53,胜
688385,复旦微电,0.5665,60.0,60.89,1.48,胜
301317,鑫磊股份,0.5664,67.5,67.75,0.37,胜
601231,环旭电子,0.5663,37.51,38.01,1.33,胜
300676,华大基因,0.5655,35.52,35.02,-1.41,负
002491,通鼎互联,0.5654,31.58,34.28,8.55,胜
002902,铭普光磁,0.5651,36.77,36.95,0.49,胜
600783,鲁信创投,0.5649,21.13,21.5,1.75,胜
301297,富乐德,0.5644,51.28,55.0,7.25,胜
688535,华海诚科,0.5641,152.9,151.38,-0.99,负
300868,杰美特,0.5633,145.75,151.0,3.6,胜
300260,新莱应材,0.5616,82.97,83.63,0.8,胜
603400,华之杰,0.5611,61.59,61.44,-0.24,负
002055,ST得润,0.5605,6.66,6.5,-2.4,负
688807,优迅股份,0.5604,449.8,435.08,-3.27,负
003031,中瓷电子,0.5594,176.29,191.01,8.35,胜
605060,联德股份,0.5593,52.73,53.19,0.87,胜
603127,昭衍新药,0.5582,35.66,35.03,-1.77,负
300354,东华测试,0.558,35.41,35.23,-0.51,负
688515,裕太微-U,0.5571,238.8,250.0,4.69,胜
002150,正泰电源,0.5569,26.54,26.54,0.0,平
