代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
002028,思源电气,0.8169,201.2,201.34,0.07,胜
000519,中兵红箭,0.7477,22.37,22.6,1.03,胜
002859,洁美科技,0.7475,102.5,99.01,-3.4,负
002669,康达新材,0.7448,18.8,18.41,-2.07,负
688517,金冠电气,0.7401,18.96,18.85,-0.58,负
600549,厦门钨业,0.7386,94.5,96.85,2.49,胜
300179,四方达,0.7385,57.48,60.01,4.4,胜
600906,财达证券,0.7353,7.86,7.66,-2.54,负
300185,通裕重工,0.7348,3.01,2.99,-0.66,负
688133,泰坦科技,0.733,21.1,21.11,0.05,胜
002706,良信股份,0.7326,12.48,12.4,-0.64,负
601208,东材科技,0.7315,79.83,78.0,-2.29,负
600888,新疆众和,0.7309,14.29,13.8,-3.43,负
600456,宝钛股份,0.7294,32.24,32.16,-0.25,负
301120,新特电气,0.7267,20.22,20.2,-0.1,负
000426,兴业银锡,0.724,43.01,42.6,-0.95,负
300059,东方财富,0.7212,20.97,20.66,-1.48,负
600550,保变电气,0.7194,13.05,12.9,-1.15,负
000799,酒鬼酒,0.7192,41.7,42.45,1.8,胜
920068,天工股份,0.7174,18.18,17.95,-1.27,负
301283,聚胶股份,0.7149,26.06,26.06,0.0,平
601901,方正证券,0.7139,7.01,6.99,-0.29,负
688159,有方科技,0.7102,48.6,48.76,0.33,胜
300286,安科瑞,0.71,30.6,30.61,0.03,胜
301358,湖南裕能,0.7092,85.86,85.86,0.0,平
605020,永和股份,0.7089,37.59,37.57,-0.05,负
000021,深科技,0.7087,46.68,46.05,-1.35,负
603618,杭电股份,0.7068,55.11,53.5,-2.92,负
600703,三安光电,0.7058,19.29,19.5,1.09,胜
300749,顶固集创,0.7053,22.44,22.22,-0.98,负
605167,利柏特,0.7043,15.15,15.29,0.92,胜
300383,光环新网,0.7027,13.28,13.15,-0.98,负
000759,中百集团,0.7026,6.54,6.38,-2.45,负
300444,双杰电气,0.7024,14.07,14.21,1.0,胜
603269,海鸥股份,0.7015,23.51,24.15,2.72,胜
600509,天富能源,0.7009,8.75,8.69,-0.69,负
301071,力量钻石,0.7005,91.92,101.0,9.88,胜
300655,晶瑞电材,0.7005,17.07,17.41,1.99,胜
300052,中青宝,0.6999,13.49,13.39,-0.74,负
603588,高能环境,0.6998,17.61,18.95,7.61,胜
603032,德新科技,0.6997,26.07,25.95,-0.46,负
601126,四方股份,0.6994,77.81,76.71,-1.41,负
002827,高争民爆,0.699,27.61,27.76,0.54,胜
600095,湘财股份,0.6984,8.27,8.2,-0.85,负
300737,科顺股份,0.6976,8.35,8.23,-1.44,负
300996,普联软件,0.6976,11.58,11.52,-0.52,负
300058,蓝色光标,0.6972,16.02,15.71,-1.94,负
688396,华润微,0.6965,78.2,77.95,-0.32,负
300820,英杰电气,0.6965,79.4,78.93,-0.59,负
301525,儒竞科技,0.6963,51.03,50.8,-0.45,负
300373,扬杰科技,0.6962,128.11,128.0,-0.09,负
600066,宇通客车,0.6941,27.42,27.28,-0.51,负
301263,泰恩康,0.6929,19.36,19.17,-0.98,负
688096,京源环保,0.6929,14.58,14.59,0.07,胜
600172,黄河旋风,0.6926,15.41,16.76,8.76,胜
601390,中国中铁,0.6926,4.65,4.63,-0.43,负
300085,银之杰,0.6924,32.35,35.02,8.25,胜
920402,硅烷科技,0.6922,13.8,13.4,-2.9,负
603933,睿能科技,0.6917,23.94,23.8,-0.58,负
603725,天安新材,0.6915,11.13,11.02,-0.99,负
600527,江南高纤,0.6912,2.33,2.32,-0.43,负
301315,威士顿,0.6902,42.73,42.0,-1.71,负
601995,中金公司,0.6878,35.44,35.43,-0.03,负
300782,卓胜微,0.6875,112.38,113.5,1.0,胜
603683,晶华新材,0.6874,32.06,32.0,-0.19,负
600459,贵研铂业,0.6869,28.59,28.0,-2.06,负
002824,和胜股份,0.6868,39.7,41.91,5.57,胜
300835,龙磁科技,0.6867,195.26,198.0,1.4,胜
002165,红 宝 丽,0.6867,7.2,7.22,0.28,胜
002558,巨人网络,0.6863,25.74,25.57,-0.66,负
688032,禾迈股份,0.6855,87.7,88.22,0.59,胜
300187,永清环保,0.6848,5.3,5.16,-2.64,负
603989,艾华集团,0.6835,45.65,47.69,4.47,胜
002975,博杰股份,0.6832,150.48,149.96,-0.35,负
002392,北京利尔,0.6831,8.34,8.38,0.48,胜
603067,振华股份,0.6828,39.7,39.33,-0.93,负
920078,族兴新材,0.6822,37.4,35.6,-4.81,负
688677,海泰新光,0.6817,121.9,123.06,0.95,胜
603285,键邦股份,0.6812,51.9,52.0,0.19,胜
601555,东吴证券,0.6808,8.06,8.03,-0.37,负
002080,中材科技,0.6805,84.32,83.25,-1.27,负
920438,戈碧迦,0.6804,108.94,110.52,1.45,胜
300842,帝科股份,0.6795,92.39,91.9,-0.53,负
002230,科大讯飞,0.679,43.88,43.46,-0.96,负
601636,旗滨集团,0.6788,8.37,8.16,-2.51,负
601669,中国电建,0.678,5.06,5.01,-0.99,负
301548,崇德科技,0.6779,93.06,95.0,2.08,胜
603629,利通电子,0.6773,194.24,195.01,0.4,胜
301501,恒鑫生活,0.6772,27.22,27.23,0.04,胜
300740,水羊股份,0.6764,22.42,22.23,-0.85,负
688535,华海诚科,0.6763,153.52,148.0,-3.6,负
300347,泰格医药,0.6758,41.2,40.73,-1.14,负
603259,药明康德,0.6757,106.83,107.0,0.16,胜
601872,招商轮船,0.6753,18.85,19.43,3.08,胜
002276,万马股份,0.6752,11.28,11.2,-0.71,负
002182,宝武镁业,0.6748,14.29,14.25,-0.28,负
688313,仕佳光子,0.6743,182.55,178.6,-2.16,负
300316,晶盛机电,0.6742,57.3,56.4,-1.57,负
301349,信德新材,0.674,66.35,67.62,1.91,胜
002439,启明星辰,0.6738,13.35,13.34,-0.07,负
301317,鑫磊股份,0.6732,64.8,65.29,0.76,胜
603648,畅联股份,0.673,9.05,8.93,-1.33,负
688800,瑞可达,0.6727,97.91,97.66,-0.26,负
000026,飞亚达,0.6724,21.81,21.79,-0.09,负
688127,蓝特光学,0.6722,87.23,86.22,-1.16,负
002734,利民股份,0.6716,18.94,19.19,1.32,胜
002455,百川股份,0.6715,8.18,8.24,0.73,胜
603556,海兴电力,0.6702,22.92,23.06,0.61,胜
002106,莱宝高科,0.6699,15.15,15.0,-0.99,负
300693,盛弘股份,0.6698,49.14,49.0,-0.28,负
601198,东兴证券,0.6694,13.46,13.41,-0.37,负
688403,汇成股份,0.6692,29.94,30.8,2.87,胜
603127,昭衍新药,0.6691,36.67,36.66,-0.03,负
002446,盛路通信,0.6689,11.76,11.64,-1.02,负
301238,瑞泰新材,0.6686,26.3,26.0,-1.14,负
603219,富佳股份,0.6685,14.9,14.76,-0.94,负
605060,联德股份,0.6674,53.5,54.79,2.41,胜
002927,泰永长征,0.6672,23.15,22.7,-1.94,负
688699,明微电子,0.6668,71.56,70.14,-1.98,负
300354,东华测试,0.6665,34.06,33.94,-0.35,负
301055,张小泉,0.6663,40.19,41.0,2.02,胜
301197,工大科雅,0.666,33.8,33.3,-1.48,负
605117,德业股份,0.6659,109.0,109.5,0.46,胜
002443,金洲管道,0.6659,11.11,11.11,0.0,平
688109,品茗科技,0.6657,86.09,85.0,-1.27,负
002326,永太科技,0.6655,24.86,24.62,-0.97,负
000629,钒钛股份,0.6655,3.43,3.43,0.0,平
688207,格灵深瞳,0.6653,21.78,21.39,-1.79,负
688191,智洋创新,0.6652,38.88,39.0,0.31,胜
603007,顺景科技,0.665,6.18,6.09,-1.46,负
603139,康惠股份,0.6649,41.8,42.0,0.48,胜
301458,钧崴电子,0.6641,62.25,60.3,-3.13,负
688129,东来技术,0.6639,27.75,27.48,-0.97,负
688307,中润光学,0.6635,70.4,69.79,-0.87,负
603093,南华期货,0.6623,21.88,21.5,-1.74,负
301588,美新科技,0.6618,41.27,40.81,-1.11,负
600230,沧州大化,0.6617,15.43,15.74,2.01,胜
600630,龙头股份,0.6617,9.14,9.16,0.22,胜
000750,国海证券,0.6615,3.79,3.79,0.0,平
300222,科大智能,0.6611,15.21,15.02,-1.25,负
600621,华鑫股份,0.6608,13.49,13.37,-0.89,负
002885,京泉华,0.6604,46.87,45.6,-2.71,负
688316,青云科技-U,0.6603,62.0,60.8,-1.94,负
002409,雅克科技,0.6602,165.18,160.03,-3.12,负
301376,致欧科技,0.6599,15.75,15.66,-0.57,负
000338,潍柴动力,0.6582,31.29,31.4,0.35,胜
301371,敷尔佳,0.6582,27.39,27.25,-0.51,负
688663,新风光,0.6581,87.19,87.19,0.0,平
688766,普冉股份,0.658,670.31,650.0,-3.03,负
603308,应流股份,0.658,69.26,69.28,0.03,胜
300404,博济医药,0.6578,8.65,8.69,0.46,胜
002380,科远智慧,0.6573,38.24,38.0,-0.63,负
688485,九州一轨,0.657,72.27,72.87,0.83,胜
600531,豫光金铅,0.6568,14.81,15.5,4.66,胜
000166,申万宏源,0.6568,4.63,4.61,-0.43,负
601377,兴业证券,0.6567,6.24,6.24,0.0,平
300776,帝尔激光,0.6564,177.89,174.32,-2.01,负
300919,中伟新材,0.6563,51.23,51.8,1.11,胜
688257,新锐股份,0.6563,111.8,110.81,-0.89,负
002180,奔图科技,0.6562,14.5,14.45,-0.34,负
603993,洛阳钼业,0.656,21.65,21.6,-0.23,负
300374,中铁装配,0.656,11.64,11.55,-0.77,负
688200,华峰测控,0.6558,407.9,405.0,-0.71,负
300522,世名科技,0.6558,23.05,21.85,-5.21,负
300821,东岳硅材,0.6556,20.9,20.46,-2.11,负
002112,三变科技,0.6555,18.43,18.43,0.0,平
300380,安硕信息,0.6555,33.63,33.0,-1.87,负
301325,曼恩斯特,0.6542,39.7,39.31,-0.98,负
603125,常青科技,0.6537,29.72,30.35,2.12,胜
688693,锴威特,0.6537,103.88,102.0,-1.81,负
300357,我武生物,0.6529,22.02,21.9,-0.54,负
601020,华钰矿业,0.6522,26.87,26.83,-0.15,负
300328,宜安科技,0.6522,19.29,19.19,-0.52,负
688012,中微公司,0.6519,372.74,372.74,0.0,平
301021,英诺激光,0.6519,132.68,128.6,-3.08,负
002170,芭田股份,0.6516,11.57,11.58,0.09,胜
688190,云路股份,0.651,110.25,109.0,-1.13,负
002432,九安医疗,0.6509,72.88,72.0,-1.21,负
600516,方大炭素,0.6506,6.28,6.19,-1.43,负
300364,中文在线,0.6506,26.3,25.8,-1.9,负
688172,燕东微,0.6504,72.51,73.0,0.68,胜
600330,天通股份,0.6503,34.46,34.1,-1.04,负
603196,璞源材料,0.6501,27.19,27.22,0.11,胜
600999,招商证券,0.65,19.65,19.87,1.12,胜
301248,杰创智能,0.65,75.87,77.1,1.62,胜
301617,博苑新材,0.65,60.13,60.19,0.1,胜
000066,中国长城,0.6496,18.48,18.35,-0.7,负
603496,恒为科技,0.6496,27.18,27.04,-0.52,负
300096,ST易联众,0.6495,10.38,10.39,0.1,胜
300538,同益股份,0.6494,19.0,18.61,-2.05,负
688178,万德斯,0.6488,37.5,37.32,-0.48,负
601021,春秋航空,0.6484,46.04,46.05,0.02,胜
300011,鼎汉技术,0.6484,6.17,6.23,0.97,胜
300508,维宏股份,0.6483,59.64,59.05,-0.99,负
301299,卓创资讯,0.6482,51.45,50.73,-1.4,负
688256,寒武纪,0.6481,1456.99,1453.0,-0.27,负
600237,铜峰电子,0.6481,12.6,12.6,0.0,平
002578,闽发铝业,0.6479,3.68,3.64,-1.09,负
300161,华中数控,0.6475,32.53,32.21,-0.98,负
002730,电光科技,0.6474,32.68,33.26,1.77,胜
688334,西高院,0.6473,19.41,19.25,-0.82,负
301085,亚康股份,0.6471,67.99,67.71,-0.41,负
300684,中石科技,0.6463,60.8,63.65,4.69,胜
688548,广钢气体,0.6462,38.38,41.31,7.63,胜
603002,宏昌电子,0.646,25.94,26.0,0.23,胜
300209,行云科技,0.646,31.29,31.0,-0.93,负
301380,挖金客,0.6456,30.37,30.0,-1.22,负
603369,今世缘,0.6451,24.4,24.19,-0.86,负
300986,志特新材,0.6451,19.2,18.95,-1.3,负
000060,中金岭南,0.6449,8.81,8.87,0.68,胜
688505,复旦张江,0.6444,7.22,7.16,-0.83,负
600030,中信证券,0.6442,28.64,28.7,0.21,胜
600111,北方稀土,0.6442,54.15,53.61,-1.0,负
600278,东方创业,0.6441,6.5,6.45,-0.77,负
002440,闰土股份,0.644,10.99,11.2,1.91,胜
300674,宇信科技,0.6439,17.03,16.77,-1.53,负
688781,视涯科技-UW,0.6435,53.85,53.8,-0.09,负
603990,麦迪科技,0.643,21.92,21.72,-0.91,负
688733,壹石通,0.6428,46.2,46.0,-0.43,负
300131,英唐智控,0.6426,20.24,20.08,-0.79,负
603717,天域生物,0.6423,6.17,6.2,0.49,胜
300041,回天新材,0.6422,15.25,15.1,-0.98,负
300785,值得买,0.6422,41.85,41.18,-1.6,负
600076,康欣新材,0.6422,3.76,3.72,-1.06,负
002990,盛视科技,0.6417,59.02,58.8,-0.37,负
000682,东方电子,0.6416,14.15,14.29,0.99,胜
002601,龙佰集团,0.6414,17.03,17.18,0.88,胜
601696,中银证券,0.6413,13.48,13.14,-2.52,负
002662,峰璟股份,0.6411,3.96,3.85,-2.78,负
300146,汤臣倍健,0.6411,10.28,10.18,-0.97,负
603266,天龙股份,0.641,17.59,17.4,-1.08,负
600558,大西洋,0.641,5.41,5.36,-0.92,负
300217,东方电热,0.6409,4.72,4.67,-1.06,负
688710,益诺思,0.6409,60.1,59.8,-0.5,负
300841,康华生物,0.6407,48.16,48.0,-0.33,负
688450,光格科技,0.6405,52.94,52.0,-1.78,负
002655,共达电声,0.6404,46.87,50.0,6.68,胜
605128,上海沿浦,0.6402,26.12,26.17,0.19,胜
300433,蓝思科技,0.64,53.81,53.8,-0.02,负
300846,首都在线,0.6399,24.63,24.08,-2.23,负
002948,青岛银行,0.6399,5.58,5.56,-0.36,负
603083,剑桥科技,0.6395,235.99,240.0,1.7,胜
000839,国安股份,0.6395,2.94,2.9,-1.36,负
002145,钛能化学,0.6394,4.97,4.93,-0.8,负
688352,颀中科技,0.6393,18.66,18.55,-0.59,负
600133,东湖高新,0.6391,8.54,8.48,-0.7,负
688123,聚辰股份,0.6391,136.99,135.0,-1.45,负
688379,华光新材,0.6387,92.25,92.25,0.0,平
300857,协创数据,0.6382,316.81,320.0,1.01,胜
000534,万泽股份,0.638,31.54,31.48,-0.19,负
301419,阿莱德,0.638,47.79,46.93,-1.8,负
