代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
301303,真兰仪表,0.6259,18.3,18.24,-0.33,负
300968,格林精密,0.6257,11.07,10.98,-0.81,负
002796,世嘉科技,0.6252,42.63,42.55,-0.19,负
301678,新恒汇,0.6252,60.99,59.88,-1.82,负
300260,新莱应材,0.6251,78.3,76.51,-2.29,负
600130,波导股份,0.6251,4.89,4.9,0.2,胜
002160,常铝股份,0.6251,4.78,4.57,-4.39,负
300590,移为通信,0.625,15.77,15.59,-1.14,负
600114,东睦股份,0.6244,43.24,43.24,0.0,平
002888,惠威科技,0.6233,20.35,20.45,0.49,胜
688233,神工股份,0.6227,121.71,121.03,-0.56,负
688001,华兴源创,0.6226,73.69,72.5,-1.61,负
600888,新疆众和,0.6223,12.3,12.78,3.9,胜
603160,汇顶科技,0.6216,59.74,59.45,-0.49,负
688583,思看科技,0.6211,131.07,131.2,0.1,胜
603400,华之杰,0.621,61.01,61.5,0.8,胜
002396,星网锐捷,0.6209,19.83,19.79,-0.2,负
000039,中集集团,0.6201,9.09,9.09,0.0,平
688333,铂力特,0.6192,89.4,91.18,1.99,胜
002559,亚威股份,0.6187,10.55,10.49,-0.57,负
002409,雅克科技,0.6184,147.92,146.44,-1.0,负
603667,五洲新春,0.617,66.52,66.75,0.35,胜
300828,锐新科技,0.6165,19.85,19.85,0.0,平
688530,欧莱新材,0.6157,64.33,62.5,-2.84,负
300984,金沃股份,0.6156,59.43,59.43,0.0,平
002824,和胜股份,0.6154,35.94,35.6,-0.95,负
001696,宗申动力,0.6154,24.22,24.22,0.0,平
600171,XD上海贝,0.6154,27.97,28.0,0.11,胜
688396,华润微,0.615,73.78,73.0,-1.06,负
003026,中晶科技,0.6145,36.52,35.87,-1.78,负
301018,申菱环境,0.6141,112.77,114.51,1.54,胜
002931,锋龙股份,0.6138,76.02,76.88,1.13,胜
300394,天孚通信,0.6137,329.33,325.0,-1.31,负
300782,卓胜微,0.6134,99.8,99.74,-0.06,负
688147,微导纳米,0.613,116.07,115.0,-0.92,负
688593,新相微,0.6125,32.59,32.59,0.0,平
301317,鑫磊股份,0.6124,64.07,64.9,1.3,胜
688112,鼎阳科技,0.612,77.32,77.2,-0.16,负
300554,三超新材,0.6118,30.48,30.01,-1.54,负
301070,开勒股份,0.6115,82.45,81.95,-0.61,负
688123,聚辰股份,0.6113,139.11,138.0,-0.8,负
600860,京城股份,0.6113,9.1,8.98,-1.32,负
601168,西部矿业,0.6112,31.48,31.0,-1.52,负
688766,普冉股份,0.6111,580.2,570.2,-1.72,负
688600,皖仪科技,0.6111,29.77,29.88,0.37,胜
688620,安凯微,0.6111,12.94,12.9,-0.31,负
603052,可川科技,0.6108,91.84,91.0,-0.91,负
301525,儒竞科技,0.6107,49.77,49.7,-0.14,负
301419,阿莱德,0.6097,43.4,44.03,1.45,胜
002993,奥海科技,0.6092,72.6,72.39,-0.29,负
688138,清溢光电,0.6089,40.93,40.53,-0.98,负
688049,炬芯科技,0.6087,45.93,45.53,-0.87,负
603662,柯力传感,0.6083,70.32,69.69,-0.9,负
002897,意华股份,0.6079,88.0,87.7,-0.34,负
688252,天德钰,0.6078,22.89,22.89,0.0,平
688130,晶华微,0.6078,27.37,27.0,-1.35,负
301606,绿联科技,0.6075,63.98,64.04,0.09,胜
301548,崇德科技,0.606,74.35,74.35,0.0,平
300831,ST派瑞,0.6049,19.41,19.51,0.52,胜
603375,盛景微,0.604,49.76,49.98,0.44,胜
300257,开山股份,0.6033,29.14,29.14,0.0,平
301086,鸿富瀚,0.6031,206.99,210.79,1.84,胜
688693,锴威特,0.6023,103.49,103.25,-0.23,负
688622,*ST禾信,0.6022,140.66,140.66,0.0,平
688720,艾森股份,0.601,84.0,83.0,-1.19,负
688045,必易微,0.6003,78.55,78.21,-0.43,负
300672,国科微,0.6002,325.3,322.05,-1.0,负
603993,洛阳钼业,0.5999,20.17,19.77,-1.98,负
300720,海川智能,0.5996,84.5,84.33,-0.2,负
301399,英特科技,0.5991,17.85,17.74,-0.62,负
300951,博硕科技,0.5982,45.05,45.05,0.0,平
002861,瀛通通讯,0.5981,18.2,18.1,-0.55,负
688628,优利德,0.5977,102.01,101.0,-0.99,负
301326,捷邦科技,0.5975,148.91,149.54,0.42,胜
603068,博通集成,0.5975,34.7,34.56,-0.4,负
603991,领先股份,0.597,117.9,117.32,-0.49,负
688589,力合微,0.5969,20.68,20.63,-0.24,负
002925,盈趣科技,0.5952,21.85,21.83,-0.09,负
688368,晶丰明源,0.5943,205.1,209.9,2.34,胜
688337,普源精电,0.5926,78.57,78.0,-0.73,负
688508,芯朋微,0.5922,92.22,93.26,1.13,胜
301448,开创电气,0.5912,39.78,39.13,-1.63,负
688110,东芯股份,0.5911,152.91,160.0,4.64,胜
002371,北方华创,0.5905,704.22,704.98,0.11,胜
603803,瑞斯康达,0.5905,12.89,12.97,0.62,胜
600641,先导基电,0.59,33.0,32.9,-0.3,负
002841,视源股份,0.5884,35.0,34.99,-0.03,负
600558,大西洋,0.5883,5.53,5.48,-0.9,负
688259,创耀科技,0.5881,38.83,38.8,-0.08,负
301377,鼎泰高科,0.5877,590.0,570.1,-3.37,负
003040,楚天龙,0.5874,12.08,11.89,-1.57,负
688381,帝奥微,0.5872,50.38,51.25,1.73,胜
002213,大为股份,0.587,40.69,39.92,-1.89,负
688790,昂瑞微-UW,0.5867,129.05,128.99,-0.05,负
600877,电科芯片,0.5867,14.2,14.17,-0.21,负
301603,乔锋智能,0.5865,146.5,145.5,-0.68,负
002681,奋达科技,0.5862,4.87,4.86,-0.21,负
601899,紫金矿业,0.586,30.43,29.96,-1.54,负
601231,环旭电子,0.5858,37.08,37.11,0.08,胜
002491,通鼎互联,0.585,28.71,30.01,4.53,胜
300916,朗特智能,0.5849,24.76,24.5,-1.05,负
688216,气派科技,0.5834,38.37,37.99,-0.99,负
300349,金卡智能,0.5832,12.7,12.78,0.63,胜
688807,优迅股份,0.5828,422.17,414.57,-1.8,负
603501,豪威集团,0.5818,90.12,89.88,-0.27,负
688608,恒玄科技,0.5818,156.48,156.32,-0.1,负
301261,恒工精密,0.5816,88.15,88.11,-0.05,负
603890,春秋电子,0.5815,25.09,24.67,-1.67,负
301202,朗威股份,0.581,37.02,36.6,-1.13,负
300402,宝色股份,0.5808,16.78,16.78,0.0,平
603339,四方科技,0.5805,12.81,12.81,0.0,平
300256,星星科技,0.5802,2.97,2.93,-1.35,负
603380,易德龙,0.5802,37.3,36.86,-1.18,负
