代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
603725,天安新材,0.7779,12.24,12.13,-0.9,负
603259,药明康德,0.7745,106.31,106.9,0.55,胜
920438,戈碧迦,0.7614,112.5,112.53,0.03,胜
301013,利和兴,0.7561,70.32,68.93,-1.98,负
002142,宁波银行,0.7494,31.2,31.02,-0.58,负
688001,华兴源创,0.7494,81.98,82.0,0.02,胜
688200,华峰测控,0.7383,424.15,408.01,-3.81,负
002990,盛视科技,0.7356,60.0,58.82,-1.97,负
300537,广信材料,0.7304,32.31,32.62,0.96,胜
002774,快意电梯,0.7282,13.68,13.52,-1.17,负
688212,澳华内镜,0.728,30.68,30.61,-0.23,负
300939,秋田微,0.726,71.68,70.42,-1.76,负
300085,银之杰,0.7238,38.82,38.0,-2.11,负
002803,吉宏股份,0.7235,23.93,23.79,-0.59,负
000035,中国天楹,0.723,5.06,5.05,-0.2,负
600366,宁波韵升,0.7222,15.04,14.9,-0.93,负
600926,杭州银行,0.7221,15.64,15.66,0.13,胜
002283,天润工业,0.7212,10.36,10.3,-0.58,负
688107,安路科技,0.721,42.66,42.37,-0.68,负
688403,汇成股份,0.716,30.17,32.0,6.07,胜
300649,杭州园林,0.7147,28.35,28.0,-1.23,负
600318,新力金融,0.7142,6.78,6.71,-1.03,负
600400,红豆股份,0.7121,3.26,3.23,-0.92,负
600346,恒力石化,0.7117,18.17,18.28,0.61,胜
002723,小崧股份,0.7099,9.12,9.12,0.0,平
301548,崇德科技,0.7097,97.75,98.01,0.27,胜
301055,张小泉,0.7094,43.59,43.58,-0.02,负
603090,宏盛股份,0.7076,58.4,57.32,-1.85,负
300655,晶瑞电材,0.7065,17.16,16.85,-1.81,负
300769,德方纳米,0.7056,74.0,73.24,-1.03,负
603088,宁波精达,0.7049,10.34,10.21,-1.26,负
000026,飞亚达,0.7032,21.65,21.61,-0.18,负
002392,北京利尔,0.703,9.05,9.01,-0.44,负
603665,康隆达,0.7025,27.0,26.83,-0.63,负
000070,特发信息,0.7019,25.08,24.59,-1.95,负
002056,横店东磁,0.7016,29.25,28.88,-1.26,负
605020,永和股份,0.7007,35.62,35.64,0.06,胜
688018,乐鑫科技,0.7005,122.5,121.5,-0.82,负
300782,卓胜微,0.7004,113.92,112.65,-1.11,负
001314,亿道信息,0.6998,58.52,58.0,-0.89,负
