代码,名称,最新价,涨跌幅,主力净流入,主力占比,超大单净流入,超大单占比,大单净流入,大单占比,中单净流入,中单占比,小单净流入,小单占比,5日主力净流入,10日主力净流入
BK1241,黑色家电,4253.07,-0.47,-103731312.0,-2.75,25561552.0,0.68,-129292864.0,-3.43,-25127872.0,-0.67,128859168.0,3.42,-208134506.0,-922325316.0
BK1042,医药商业,1012.26,-0.43,-104271545.0,-3.52,-53820841.0,-1.82,-50450704.0,-1.7,57428512.0,1.94,46843024.0,1.58,-221143913.0,-825911989.0
BK1244,小家电,2169.94,0.04,-116147636.0,-3.89,-99255012.0,-3.32,-16892624.0,-0.57,61990768.0,2.08,58011312.0,1.94,-536438865.0,-1108041881.0
BK1246,房屋建设Ⅱ,1807.35,-0.68,-119489040.0,-4.72,-73040592.0,-2.88,-46448448.0,-1.83,10967632.0,0.43,108521408.0,4.28,-504056935.0,-442561376.0
BK0740,教育,530.43,-1.3,-125831774.0,-7.1,-83101454.0,-4.69,-42730320.0,-2.41,21501744.0,1.21,104330016.0,5.88,-409932702.0,-693627089.0
BK1225,服装家纺,2382.37,-0.6,-127268688.0,-1.49,-130324336.0,-1.52,3055648.0,0.04,172901088.0,2.02,-44687936.0,-0.52,-531984576.0,-1007919807.0
BK1218,出版,1801.71,0.7,-127299305.0,-4.36,-59300841.0,-2.03,-67998464.0,-2.33,-5716368.0,-0.2,133015680.0,4.56,-574698952.0,-611325078.0
BK1281,休闲食品,2022.06,-0.12,-127512513.0,-5.25,-89815073.0,-3.69,-37697440.0,-1.55,13131712.0,0.54,114380784.0,4.71,-194550056.0,-323265180.0
BK1279,非白酒,1924.14,-0.27,-129938338.0,-4.96,-38500930.0,-1.47,-91437408.0,-3.49,-29839440.0,-1.14,159777776.0,6.1,-1176613869.0,-1204765311.0
BK0421,铁路公路,8044.19,-0.12,-130009840.0,-3.23,-60072320.0,-1.49,-69937520.0,-1.74,-3618880.0,-0.09,133628736.0,3.32,-455348064.0,-703547088.0
BK1263,摩托车及其他,3317.35,0.06,-137295018.0,-4.13,-56802330.0,-1.71,-80492688.0,-2.42,-30499136.0,-0.92,168768080.0,5.08,-91785752.0,-206844420.0
BK1256,农产品加工,2109.8,-1.02,-164981277.0,-5.42,-140061165.0,-4.6,-24920112.0,-0.82,8995248.0,0.3,147582624.0,4.85,-668513791.0,-910768583.0
BK1254,动物保健Ⅱ,4125.63,0.3,-165746679.0,-8.47,-95357623.0,-4.87,-70389056.0,-3.6,27670480.0,1.41,142907856.0,7.3,-45007952.0,82006832.0
BK0482,一般零售,15736.34,0.03,-172052688.0,-2.06,-61303952.0,-0.73,-110748736.0,-1.32,-40156112.0,-0.48,212208800.0,2.54,-1078175728.0,-2297966512.0
BK1040,中药Ⅱ,1228.41,-0.4,-197620416.0,-1.93,-180204832.0,-1.76,-17415584.0,-0.17,164291840.0,1.61,36437904.0,0.36,-796295536.0,-1679571088.0
BK0539,综合Ⅱ,11625.65,0.46,-201911040.0,-3.28,-48726368.0,-0.79,-153184672.0,-2.49,-18448304.0,-0.3,220359328.0,3.58,-114522224.0,-164592288.0
BK0422,物流,6649.83,-0.29,-223971856.0,-3.86,-142405136.0,-2.46,-81566720.0,-1.41,-21460768.0,-0.37,245924896.0,4.24,-596700706.0,-1222169869.0
BK1041,医疗器械,889.45,-0.39,-233953152.0,-0.93,-194930560.0,-0.77,-39022592.0,-0.15,258491136.0,1.02,-45017600.0,-0.18,-54193200.0,-1028539616.0
BK1032,风电设备,1435.79,0.22,-234428192.0,-1.73,-214142640.0,-1.58,-20285552.0,-0.15,15059920.0,0.11,168312064.0,1.24,-107655808.0,-3128677232.0
BK0424,水泥,25836.81,-0.15,-238777590.0,-6.39,-173348342.0,-4.64,-65429248.0,-1.75,89431056.0,2.39,149346528.0,4.0,-471769151.0,-906519218.0
