代码,名称,最新价,涨跌幅,成交量,成交额,换手率,量比,最高,最低,开盘,昨收,总市值,主力净流入,主力占比,超大单净流入,超大单占比,大单净流入,大单占比,中单净流入,中单占比,小单净流入,小单占比,5日主力净流入,5日主力占比,5日超大买入,5日超大卖出,融资净买入,融资净买入占比,融券净卖出,融券卖出量,10日主力净流入,10日主力占比,行业
600975,新五丰,4.41,0.0,132070,57126960.0,1.06,1.15,4.42,4.27,4.39,4.41,5511008273,-4658204.0,-8.15,-3532914.0,-6.18,-1125290.0,-1.97,87986.0,0.15,4570220.0,8.0,-21117221.0,-8.01,-10637182.0,-4.04,-10480039.0,-3.98,-5678167.0,26795389.0,-25943561.0,-5.44,养殖业
603922,ST金鸿顺,15.66,-0.89,35233,55512913.0,1.97,1.69,16.39,15.16,16.3,15.8,2806272000,-4662964.0,-8.4,-1651384.0,-2.97,-3011580.0,-5.43,2416959.0,4.35,2246006.0,4.05,2112759.0,1.23,465778.0,0.27,1646981.0,0.96,2933709.0,-5046466.0,-5419795.0,-1.68,汽车零部件
002788,鹭燕医药,10.89,-0.37,102986,110618504.67,2.7,1.04,10.92,10.58,10.81,10.93,4230947255,-4664154.0,-4.22,0.0,0.0,-4664154.0,-4.22,-7226735.0,-6.53,11890890.0,10.75,-23659589.0,-4.51,-3214856.0,-0.61,-20444733.0,-3.9,-26315878.0,49975469.0,-70512330.0,-5.87,医药商业
605111,新洁能,74.57,0.36,325947,2458883195.0,7.85,1.17,78.82,72.65,76.67,74.3,30971349521,-4668848.0,-0.19,30312352.0,1.23,-34981200.0,-1.42,-2151344.0,-0.09,6820192.0,0.28,423837576.0,4.26,202400712.0,2.04,221436864.0,2.23,79998416.0,-503835984.0,725631962.0,4.35,半导体
603381,永臻股份,16.62,-1.71,51775,85154050.0,3.64,1.42,17.15,16.1,16.76,16.91,3943200138,-4670763.0,-5.49,-1454317.0,-1.71,-3216446.0,-3.78,-5108370.0,-6.0,9779133.0,11.48,-9749098.0,-2.96,-821736.0,-0.25,-8927362.0,-2.71,-2507590.0,12256688.0,-28738516.0,-4.1,光伏设备
002646,天佑德酒,6.65,0.91,75520,49241124.15,1.59,1.18,6.66,6.4,6.57,6.59,3186068027,-4677665.0,-9.5,-436762.0,-0.89,-4240903.0,-8.61,1485353.0,3.02,3192313.0,6.48,-11267762.0,-5.3,-1491175.0,-0.7,-9776587.0,-4.6,4131470.0,7136296.0,-14738254.0,-3.55,白酒Ⅱ
300783,三只松鼠,16.55,1.16,61883,100218850.24,2.21,1.18,16.56,15.98,16.39,16.36,6647909920,-4683877.0,-4.67,-1202851.0,-1.2,-3481026.0,-3.47,-1379705.0,-1.38,6063582.0,6.05,-33194396.0,-7.73,-2395592.0,-0.56,-30798804.0,-7.18,-2498871.0,35693268.0,-56657096.0,-6.0,休闲食品
600033,福建高速,3.45,-0.29,230452,78847130.0,0.84,0.99,3.46,3.38,3.46,3.46,9468180000,-4684348.0,-5.94,2683103.0,3.4,-7367451.0,-9.34,1773959.0,2.25,2910388.0,3.69,-7097074.0,-1.91,-5533262.0,-1.49,-1563812.0,-0.42,-252219.0,7349294.0,-14484937.0,-1.79,铁路公路
300057,万顺新材,9.27,-0.64,994905,892623314.33,11.97,1.18,9.35,8.61,9.31,9.33,9303107462,-4697136.0,-0.53,17028151.0,1.91,-21725287.0,-2.43,26809200.0,3.0,-22112059.0,-2.48,6882036.0,0.18,-15987315.0,-0.41,22869351.0,0.58,33134788.0,-40016809.0,-21987998.0,-0.34,工业金属
002054,德美化工,7.47,2.05,126773,92431790.2,3.3,1.45,7.48,7.06,7.32,7.32,3601402426,-4702329.0,-5.09,-1670073.0,-1.81,-3032256.0,-3.28,-3181530.0,-3.44,7883860.0,8.53,-15802129.0,-4.52,-7298981.0,-2.09,-8503148.0,-2.43,5541352.0,10260779.0,-26378737.0,-4.01,化学制品
600981,苏豪汇鸿,2.5,-1.19,290201,71987350.0,1.29,0.65,2.53,2.44,2.53,2.53,5606082980,-4721412.0,-6.56,-4016487.0,-5.58,-704925.0,-0.98,2599526.0,3.61,2121886.0,2.95,-9568219.0,-1.95,-10106340.0,-2.06,538121.0,0.11,1071487.0,8496735.0,73166901.0,5.47,贸易Ⅱ
300979,华利集团,31.22,-0.13,31889,98743948.97,0.27,0.89,31.42,30.43,31.25,31.26,36433740000,-4722439.0,-4.78,-2211496.0,-2.24,-2510943.0,-2.54,-2189625.0,-2.22,6912064.0,7.0,-18290995.0,-3.58,-20430500.0,-4.0,2139505.0,0.42,6372711.0,11918284.0,-19821359.0,-2.07,纺织制造
000626,远大控股,6.92,-0.86,113166,76819772.18,2.25,1.29,6.98,6.63,6.91,6.98,3505857899,-4725551.0,-6.15,1346794.0,1.75,-6072345.0,-7.9,-2544734.0,-3.31,7270284.0,9.46,-23807672.0,-7.88,2415287.0,0.8,-26222959.0,-8.68,-11456184.0,35263855.0,-59901433.0,-7.09,物流
002034,旺能环境,17.07,-0.41,90174,154286138.14,1.75,0.78,17.7,16.8,17.26,17.14,8820089535,-4732563.0,-3.07,-1341396.0,-0.87,-3391167.0,-2.2,7722555.0,5.01,-2989992.0,-1.94,-20582377.0,-2.41,-20598074.0,-2.41,15697.0,0.0,21599847.0,-1017467.0,-72941367.0,-3.38,环境治理
000885,城发环境,12.75,1.11,44618,56000921.32,0.69,1.29,12.78,12.32,12.61,12.61,8186497751,-4732697.0,-8.45,-5334316.0,-9.53,601619.0,1.07,247327.0,0.44,4485370.0,8.01,224343.0,0.1,-2611564.0,-1.21,2835907.0,1.32,-1698196.0,1473852.0,11705195.0,2.36,环境治理
603293,埃泰克,41.81,-1.67,27016,111069697.0,7.7,1.34,42.69,40.17,42.68,42.52,7487780411,-4733621.0,-4.26,-2331191.0,-2.1,-2402430.0,-2.16,5439279.0,4.9,-705657.0,-0.64,-3505764.0,-0.78,-2046192.0,-0.45,-1459572.0,-0.32,-13838619.0,17344388.0,-26569569.0,-3.05,汽车零部件
002752,昇兴股份,6.12,0.66,178231,106427714.95,1.83,1.34,6.13,5.8,6.07,6.08,5978741024,-4737311.0,-4.45,-5762719.0,-5.41,1025408.0,0.96,-1806592.0,-1.7,6543902.0,6.15,-13730404.0,-3.33,-9326075.0,-2.26,-4404329.0,-1.07,9320952.0,4409450.0,-9644182.0,-1.16,包装印刷
