代码,名称,最新价,综合得分,资金得分,趋势得分,启动得分,板块得分,位置得分,分析师得分,多日得分,技术面得分,行业内得分,融资得分,加速度得分,占比趋势得分,涨跌幅,换手率,量比,总市值,触发信号
603387,基蛋生物,7.95,0.2848,0.264,0.339,0.377,0.171,0.416,0.5,0.307,0.5,0.429,0.483,0.7,0.0,-1.85,2.07,1.54,40.3187046,
600171,上海贝岭,28.0,0.2847,0.161,0.442,0.395,0.528,0.519,0.5,0.152,0.5,0.381,0.249,0.7,0.0,-0.32,2.9,1.26,198.49852484,
603887,城地香江,10.35,0.2846,0.187,0.41,0.336,0.752,0.548,0.5,0.145,0.5,0.192,0.267,0.7,0.0,-1.71,3.06,1.41,62.31004507,
000920,沃顿科技,14.11,0.2846,0.063,0.496,0.461,0.528,0.532,0.5,0.358,0.5,0.094,0.339,0.7,0.0,-6.0,7.99,1.13,66.68683975,
300366,ST创意,5.03,0.2845,0.249,0.378,0.248,0.822,0.34,0.5,0.316,0.5,0.143,0.452,0.7,0.0,-1.37,2.21,2.04,30.56108035,
603248,锡华科技,22.83,0.2843,0.274,0.528,0.302,0.164,0.461,0.5,0.167,0.5,0.471,0.227,0.7,0.0,-2.02,8.22,1.28,105.018,
600776,东方通信,15.64,0.2843,0.262,0.527,0.413,0.528,0.15,0.5,0.082,0.5,0.451,0.144,0.7,0.0,1.76,3.07,1.05,196.43841001,
002452,长高电气,11.29,0.2843,0.228,0.731,0.198,0.829,0.208,0.5,0.182,0.5,0.153,0.17,0.7,0.0,2.17,4.27,1.43,70.0354924,
002009,天奇股份,20.52,0.2843,0.266,0.605,0.291,0.528,0.388,0.5,0.111,0.5,0.196,0.112,0.7,0.0,-1.35,6.68,1.47,82.53825408,
688176,亚虹医药-U,9.99,0.2842,0.304,0.376,0.227,0.528,0.436,0.5,0.224,0.5,0.388,0.315,0.7,0.0,-1.87,2.52,1.51,57.16199758,
002866,传艺科技,17.8,0.284,0.288,0.533,0.199,0.528,0.394,0.5,0.177,0.5,0.356,0.241,0.7,0.0,-0.95,4.54,1.21,51.53496157,
688386,泛亚微透,89.27,0.2839,0.095,0.551,0.504,0.528,0.634,0.5,0.059,0.5,0.125,0.063,0.7,0.0,-5.53,6.14,1.39,88.92091681,
300337,银邦股份,12.23,0.2839,0.151,0.575,0.222,0.843,0.675,0.5,0.102,0.5,0.091,0.191,0.7,0.0,-4.9,6.05,1.66,100.52413718,
