代码,名称,最新价,综合得分,资金得分,趋势得分,启动得分,板块得分,位置得分,分析师得分,多日得分,技术面得分,行业内得分,融资得分,加速度得分,占比趋势得分,涨跌幅,换手率,量比,总市值,触发信号
300738,奥飞数据,22.0,0.6426,0.959,0.825,0.548,0.682,0.386,0.5,0.972,0.5,1.0,0.97,0.904,0.05,4.17,9.27,1.75,216.74191858,P32_ratio_accel
002326,永太科技,24.86,0.6401,0.964,0.814,0.674,0.815,0.361,0.5,0.938,0.5,1.0,0.189,1.0,0.05,7.11,10.23,2.11,229.98673031,P32_ratio_accel
300014,亿纬锂能,70.23,0.6363,0.953,0.804,0.592,0.787,0.199,0.5,0.983,0.5,1.0,0.854,1.0,0.05,5.36,7.08,1.4,1526.30643745,P32_ratio_accel
002028,思源电气,201.2,0.6358,0.959,0.641,0.586,0.829,0.37,0.5,0.977,0.5,0.958,0.967,1.0,0.05,5.78,2.92,1.45,1574.29177818,P32_ratio_accel
300041,回天新材,15.25,0.6294,0.935,0.793,0.615,0.815,0.15,0.5,0.915,0.5,0.955,0.939,1.0,0.05,5.17,12.99,1.35,85.3137977,P32_ratio_accel
000063,中兴通讯,39.43,0.6287,0.957,0.812,0.713,0.528,0.323,0.5,0.697,0.5,1.0,0.938,0.7,0.05,4.06,7.29,1.44,1886.14780594,P32_ratio_accel
601126,四方股份,77.81,0.6281,0.938,0.825,0.794,0.829,0.405,0.5,0.985,0.5,0.944,0.917,1.0,0.0,4.26,6.78,1.52,648.23938955,
600410,华胜天成,19.3,0.6217,0.968,0.755,0.496,0.752,0.376,0.5,0.94,0.5,0.986,0.819,0.673,0.05,7.7,13.55,2.67,211.62347382,P32_ratio_accel
300468,四方精创,24.64,0.6207,0.865,0.786,0.641,0.822,0.243,0.5,0.893,0.5,0.886,0.911,1.0,0.05,6.07,8.25,1.32,130.75198136,P32_ratio_accel
600111,北方稀土,54.15,0.6178,0.974,0.825,0.64,0.836,0.15,0.5,0.992,0.5,1.0,0.019,0.734,0.05,5.35,6.82,1.55,1957.55815344,P32_ratio_accel
000519,中兵红箭,22.37,0.6174,0.98,0.575,0.635,0.71,0.15,0.5,0.986,0.5,1.0,0.976,0.835,0.05,9.98,13.28,2.14,311.51544427,P32_ratio_accel
600666,奥瑞德,4.72,0.6167,0.859,0.825,0.777,0.528,0.438,0.5,0.852,0.5,0.825,0.292,1.0,0.05,3.74,8.88,1.74,129.862181,P32_ratio_accel
000426,兴业银锡,43.01,0.6164,0.921,0.645,0.72,0.738,0.162,0.5,0.935,0.5,0.857,0.823,1.0,0.05,8.69,6.33,1.45,763.70093134,P32_ratio_accel
300058,蓝色光标,16.02,0.6161,0.951,0.825,0.778,0.759,0.258,0.5,0.653,0.5,1.0,0.087,0.7,0.05,5.05,11.49,1.71,575.15344057,P32_ratio_accel
688328,深科达,81.83,0.6159,0.789,0.825,0.67,0.528,0.475,0.5,0.865,0.5,0.929,0.921,1.0,0.05,4.91,9.62,1.54,77.2935862,P32_ratio_accel
300782,卓胜微,112.38,0.6142,0.966,0.825,0.883,0.528,0.15,0.5,0.95,0.5,0.99,0.996,1.0,0.0,5.92,10.28,1.65,646.17037487,
002552,宝鼎科技,76.68,0.6102,0.943,0.81,0.396,0.528,0.447,0.5,0.945,0.5,0.923,0.974,0.902,0.05,5.93,5.07,1.43,297.50715181,P32_ratio_accel
688811,有研复材,31.97,0.6053,0.882,0.408,0.912,0.745,0.45,0.5,0.739,0.5,0.731,0.535,1.0,0.05,8.67,22.43,1.07,160.38505152,P32_ratio_accel
002112,三变科技,18.43,0.6048,0.851,0.823,0.59,0.829,0.176,0.5,0.828,0.5,0.847,0.891,1.0,0.05,4.89,10.27,1.49,54.20839527,P32_ratio_accel
605020,永和股份,37.59,0.6044,0.915,0.575,1.0,0.815,0.15,0.5,0.913,0.5,0.97,0.942,1.0,0.0,10.01,12.42,1.59,192.01675798,
000799,酒鬼酒,41.7,0.6044,0.935,0.825,0.548,0.668,0.405,0.5,0.588,0.5,1.0,0.732,0.7,0.05,5.95,7.76,2.23,135.49538466,P32_ratio_accel
300763,锦浪科技,95.62,0.6022,0.943,0.769,0.342,0.808,0.429,0.5,0.916,0.5,0.935,0.967,0.494,0.05,3.87,6.16,1.24,380.62624375,P32_ratio_accel
688234,天岳先进,158.0,0.6019,0.88,0.752,0.766,0.528,0.51,0.5,0.987,0.5,0.971,0.993,1.0,0.0,5.9,5.93,1.16,765.69729952,
301248,杰创智能,75.87,0.601,0.88,0.786,0.401,0.752,0.444,0.5,0.907,0.5,0.89,0.911,0.852,0.05,3.46,6.48,1.32,116.6159835,P32_ratio_accel
300383,光环新网,13.28,0.6008,0.857,0.801,0.663,0.682,0.392,0.5,0.613,0.5,0.818,0.887,0.7,0.05,2.95,5.2,1.39,238.72033008,P32_ratio_accel
002975,博杰股份,150.48,0.6,0.95,0.543,0.668,0.528,0.15,0.5,0.976,0.5,1.0,0.837,0.889,0.05,10.0,14.33,1.35,313.19513153,P32_ratio_accel
300042,朗科科技,73.72,0.5984,0.912,0.799,0.523,0.451,0.175,0.5,0.965,0.5,1.0,0.954,0.796,0.05,4.79,18.26,1.42,147.73488,P32_ratio_accel
600516,方大炭素,6.28,0.598,0.977,0.735,0.742,0.64,0.358,0.5,0.944,0.5,1.0,0.625,1.0,0.0,7.9,6.03,1.64,252.83093911,
300748,金力永磁,34.39,0.5956,0.878,0.762,0.925,0.745,0.195,0.5,0.902,0.5,0.885,0.729,1.0,0.0,2.87,4.96,1.22,473.06515924,
688312,燕麦科技,95.99,0.5931,0.896,0.806,0.483,0.528,0.168,0.5,0.91,0.5,0.964,0.937,1.0,0.05,3.66,7.76,1.41,140.83170546,P32_ratio_accel
002177,御银股份,6.45,0.5905,0.792,0.793,0.809,0.451,0.206,0.5,0.814,0.5,0.857,0.515,1.0,0.05,4.71,9.06,1.35,49.09683846,P32_ratio_accel
300996,普联软件,11.58,0.5901,0.789,0.586,0.842,0.822,0.294,0.5,0.758,0.5,0.629,0.66,1.0,0.05,2.48,2.94,1.19,45.83238033,P32_ratio_accel
000066,中国长城,18.48,0.59,0.851,0.812,0.811,0.451,0.317,0.5,0.973,0.5,0.976,0.984,1.0,0.0,3.59,8.67,1.44,596.12767146,
300033,同花顺,246.7,0.589,0.97,0.575,0.808,0.822,0.154,0.5,0.597,0.5,1.0,0.015,0.7,0.05,14.91,9.69,2.17,1856.76288,P32_ratio_accel
300131,英唐智控,20.24,0.5889,0.935,0.707,0.47,0.717,0.193,0.5,0.955,0.5,0.857,0.973,0.464,0.05,7.32,14.04,1.1,229.72794376,P32_ratio_accel
002558,巨人网络,25.74,0.5881,0.932,0.7,0.517,0.661,0.28,0.5,0.643,0.5,1.0,0.952,0.7,0.05,7.7,4.34,1.61,489.20465134,P32_ratio_accel
002859,洁美科技,102.5,0.5876,0.859,0.782,0.472,0.717,0.374,0.5,0.686,0.5,0.952,0.984,0.7,0.05,2.78,9.18,1.3,442.0072322,P32_ratio_accel
600703,三安光电,19.29,0.5874,0.961,0.468,0.734,0.528,0.15,0.5,0.695,0.5,1.0,0.998,0.7,0.05,9.98,7.47,1.0,962.38171244,P32_ratio_accel
688005,容百科技,34.66,0.5867,0.87,0.825,0.469,0.787,0.176,0.5,0.818,0.5,0.762,0.89,1.0,0.05,5.74,5.12,1.59,247.7238479,P32_ratio_accel
300842,帝科股份,92.39,0.5864,0.903,0.807,0.573,0.808,0.199,0.5,0.525,0.5,0.871,0.833,0.7,0.05,7.18,10.54,1.99,134.22395456,P32_ratio_accel
002106,莱宝高科,15.15,0.586,0.915,0.757,0.703,0.528,0.421,0.5,0.945,0.5,0.95,0.817,1.0,0.0,7.68,13.55,1.85,106.93114824,
002654,万润科技,18.3,0.5858,0.926,0.759,0.382,0.528,0.354,0.5,0.958,0.5,0.975,0.969,0.376,0.05,5.96,12.75,1.19,154.69036555,P32_ratio_accel
300364,中文在线,26.3,0.5857,0.915,0.825,0.75,0.584,0.188,0.5,0.932,0.5,0.857,0.976,1.0,0.0,4.95,10.59,1.65,191.59553103,
301205,联特科技,349.39,0.5835,0.88,0.539,0.681,0.528,0.745,0.5,0.995,0.5,0.922,0.982,0.963,0.0,-3.22,16.47,1.33,454.50223455,
002851,麦格米特,188.79,0.5827,0.924,0.733,0.531,0.633,0.21,0.5,0.972,0.5,1.0,0.003,1.0,0.05,5.18,8.13,1.07,1098.35690821,P32_ratio_accel
301358,湖南裕能,85.86,0.582,0.93,0.575,0.36,0.787,0.255,0.5,0.974,0.5,0.937,0.991,0.905,0.05,12.85,5.63,1.55,724.09190774,P32_ratio_accel
300557,理工光科,34.07,0.5804,0.837,0.801,0.624,0.528,0.15,0.5,0.835,0.5,0.891,0.582,1.0,0.05,3.65,10.65,1.39,53.53359171,P32_ratio_accel
601872,招商轮船,18.85,0.5803,0.976,0.324,0.553,0.766,0.15,0.5,0.988,0.5,1.0,0.989,0.639,0.05,9.98,2.6,1.26,1522.05050763,P32_ratio_accel
300655,晶瑞电材,17.07,0.5802,0.908,0.759,0.645,0.773,0.382,0.5,0.523,0.5,0.647,0.377,0.7,0.05,4.02,9.87,1.19,192.31474701,P32_ratio_accel
300835,龙磁科技,195.26,0.5801,0.869,0.569,0.632,0.745,0.697,0.5,0.919,0.5,0.923,0.928,1.0,0.0,-6.16,10.27,1.47,232.8427466,
000759,中百集团,6.54,0.5785,0.93,0.666,0.484,0.199,0.483,0.5,0.928,0.5,1.0,0.864,0.346,0.05,4.47,21.74,1.38,43.32511879,P32_ratio_accel
601636,旗滨集团,8.37,0.5751,0.918,0.825,0.464,0.696,0.46,0.5,0.981,0.5,1.0,0.903,0.744,0.0,4.1,10.61,1.62,247.63931703,
603618,杭电股份,55.11,0.575,0.969,0.784,0.64,0.829,0.251,0.5,0.993,0.5,0.972,0.059,1.0,0.0,6.45,12.52,1.31,381.01710198,
603588,高能环境,17.61,0.5746,0.943,0.575,0.505,0.689,0.15,0.5,0.97,0.5,1.0,0.794,0.265,0.05,9.99,7.48,1.53,268.24158788,P32_ratio_accel
920068,天工股份,18.18,0.5743,0.805,0.671,0.767,0.836,0.253,0.5,0.714,0.5,0.385,0.56,1.0,0.05,6.01,3.15,2.29,119.18808273,P32_ratio_accel
605117,德业股份,109.0,0.5741,0.947,0.554,0.626,0.808,0.384,0.5,0.578,0.5,0.968,0.091,0.7,0.05,5.62,2.34,1.27,1387.68191684,P32_ratio_accel
002283,天润工业,11.31,0.5738,0.922,0.807,0.69,0.528,0.15,0.5,0.912,0.5,0.992,0.899,1.0,0.0,2.17,9.1,2.51,128.87260683,
688127,蓝特光学,87.23,0.5737,0.757,0.435,0.95,0.528,0.664,0.5,0.941,0.5,0.85,0.986,1.0,0.0,-2.51,3.84,1.3,354.06456371,
688628,优利德,109.59,0.5736,0.866,0.724,0.247,0.528,0.707,0.5,0.923,0.5,0.93,0.948,0.38,0.05,3.31,5.38,1.03,122.48609969,P32_ratio_accel
301071,力量钻石,91.92,0.5735,0.982,0.535,0.8,0.5,0.15,0.5,0.964,0.5,1.0,0.869,1.0,0.0,20.0,18.95,1.47,239.24231011,
002074,国轩高科,30.72,0.5732,0.916,0.608,0.691,0.787,0.21,0.5,0.585,0.5,0.825,0.414,0.7,0.05,3.4,2.71,1.38,557.32870779,P32_ratio_accel
000676,智度股份,5.6,0.5732,0.817,0.719,0.639,0.759,0.185,0.5,0.769,0.5,0.667,0.644,1.0,0.05,2.56,3.73,1.84,70.54819604,P32_ratio_accel
600584,长电科技,91.33,0.5727,0.964,0.504,0.808,0.528,0.15,0.5,0.7,0.5,1.0,0.039,0.7,0.05,10.0,13.26,1.17,1634.27232678,P32_ratio_accel
920971,天马新材,47.65,0.5721,0.797,0.556,1.0,0.5,0.44,0.5,0.857,0.5,0.857,0.785,1.0,0.0,11.99,17.55,1.41,49.54075295,
002706,良信股份,12.48,0.5717,0.875,0.685,0.397,0.829,0.521,0.5,0.845,0.5,0.833,0.497,0.422,0.05,1.46,4.96,1.13,140.1660025,P32_ratio_accel
301315,威士顿,42.73,0.5717,0.75,0.741,0.636,0.822,0.322,0.5,0.712,0.5,0.643,0.677,1.0,0.05,4.86,3.99,2.17,37.6024,P32_ratio_accel
600906,财达证券,7.86,0.5714,0.93,0.692,0.417,0.85,0.169,0.5,0.883,0.5,0.632,0.815,0.714,0.05,8.12,10.94,1.4,255.057,P32_ratio_accel
300872,天阳科技,19.91,0.5713,0.847,0.766,0.246,0.752,0.421,0.5,0.891,0.5,0.918,0.936,0.824,0.05,1.43,7.24,2.02,97.18490763,P32_ratio_accel
301263,泰恩康,19.36,0.5712,0.854,0.334,0.571,0.528,0.645,0.5,0.847,0.5,0.959,0.832,0.781,0.05,-4.49,2.65,1.29,98.8515792,P32_ratio_accel
600459,贵研铂业,28.59,0.5705,0.891,0.479,0.506,0.836,0.197,0.5,0.929,0.5,0.846,0.933,0.719,0.05,9.58,11.28,1.05,235.37521422,P32_ratio_accel
603042,华脉科技,21.7,0.5689,0.841,0.765,0.496,0.528,0.15,0.5,0.835,0.5,0.902,0.836,1.0,0.05,4.68,10.43,1.22,34.84799528,P32_ratio_accel
603002,宏昌电子,25.94,0.5687,0.935,0.575,0.555,0.773,0.15,0.5,0.936,0.5,0.941,0.208,0.612,0.05,10.01,13.27,1.62,294.17996523,P32_ratio_accel
000050,深天马Ａ,9.28,0.5687,0.894,0.785,0.55,0.528,0.47,0.5,0.948,0.5,0.9,0.89,1.0,0.0,3.8,4.55,1.49,226.03997559,
002439,启明星辰,13.35,0.5687,0.804,0.716,0.871,0.822,0.183,0.5,0.842,0.5,0.757,0.879,1.0,0.0,3.01,4.67,1.12,161.72192737,
688556,高测股份,12.42,0.5684,0.902,0.737,0.223,0.808,0.4,0.5,0.943,0.5,0.806,0.951,0.428,0.05,1.8,6.92,1.27,103.1821226,P32_ratio_accel
603629,利通电子,194.24,0.5679,0.978,0.479,0.808,0.528,0.15,0.5,0.624,0.5,1.0,0.026,0.7,0.05,10.0,13.83,1.05,509.530368,P32_ratio_accel
688133,泰坦科技,21.1,0.5675,0.774,0.624,0.634,0.815,0.342,0.5,0.744,0.5,0.701,0.609,1.0,0.05,3.13,3.56,1.12,34.69620215,P32_ratio_accel
603989,艾华集团,45.65,0.5673,0.941,0.575,0.92,0.528,0.15,0.5,0.954,0.5,0.885,0.396,1.0,0.0,10.0,8.23,1.92,182.04300609,
603933,睿能科技,23.94,0.5673,0.792,0.449,0.686,0.717,0.419,0.5,0.792,0.5,0.667,0.779,1.0,0.05,-0.95,3.17,1.35,49.68617126,P32_ratio_accel
301238,瑞泰新材,26.3,0.5672,0.891,0.672,0.464,0.787,0.166,0.5,0.84,0.5,0.73,0.662,1.0,0.05,3.06,4.32,1.05,192.8666579,P32_ratio_accel
002160,常铝股份,4.44,0.5672,0.85,0.704,0.554,0.843,0.194,0.5,0.796,0.5,0.455,0.718,1.0,0.05,1.83,5.86,1.11,45.85548381,P32_ratio_accel
002831,裕同科技,33.57,0.5671,0.882,0.72,0.509,0.528,0.348,0.5,0.82,0.5,1.0,0.229,0.726,0.05,3.84,3.84,1.46,432.49272644,P32_ratio_accel
300749,顶固集创,22.44,0.5666,0.862,0.659,0.339,0.465,0.722,0.5,0.787,0.5,0.882,0.873,0.516,0.05,-0.49,7.62,1.54,46.04001336,P32_ratio_accel
603007,顺景科技,6.18,0.5661,0.842,0.771,0.554,0.528,0.283,0.5,0.568,0.5,0.95,0.824,0.7,0.05,6.0,9.69,1.25,54.67112904,P32_ratio_accel
600509,天富能源,8.75,0.5658,0.781,0.69,0.593,0.528,0.283,0.5,0.738,0.5,0.9,0.828,1.0,0.05,5.8,3.95,1.28,120.25977311,P32_ratio_accel
300085,银之杰,32.35,0.5657,0.994,0.575,0.911,0.822,0.15,0.5,0.878,0.5,0.986,0.905,1.0,-0.04,19.99,17.42,2.05,228.59821307,P32_extreme
603285,键邦股份,51.9,0.5654,0.921,0.381,0.338,0.815,0.568,0.5,0.902,0.5,0.94,0.822,0.576,0.05,-4.65,23.44,2.5,83.04,P32_ratio_accel
300766,每日互动,24.47,0.5653,0.828,0.776,0.564,0.822,0.467,0.5,0.885,0.5,0.814,0.921,1.0,0.0,1.62,7.96,1.51,96.59526554,
000026,飞亚达,21.81,0.5651,0.853,0.707,0.553,0.542,0.324,0.5,0.563,0.5,1.0,0.762,0.7,0.05,2.35,4.12,1.33,88.49712993,P32_ratio_accel
002515,金字火腿,10.22,0.5649,0.901,0.744,0.426,0.612,0.408,0.5,0.853,0.5,1.0,0.125,0.492,0.05,6.13,12.86,1.12,123.72476756,P32_ratio_accel
002734,利民股份,18.94,0.5631,0.857,0.825,0.505,0.78,0.359,0.5,0.956,0.5,0.818,0.929,1.0,0.0,4.64,9.41,1.55,90.12402479,
002927,泰永长征,23.15,0.5624,0.895,0.821,0.368,0.829,0.515,0.5,0.951,0.5,0.875,0.95,0.716,0.0,2.43,13.37,1.54,51.66898967,
688677,海泰新光,121.9,0.562,0.946,0.825,0.597,0.171,0.638,0.5,0.634,0.5,0.971,0.935,0.7,0.0,2.71,7.34,1.74,146.130063,
300803,指南针,105.6,0.5614,0.96,0.575,0.613,0.822,0.217,0.5,0.519,0.5,0.971,0.05,0.7,0.05,10.28,10.57,1.8,643.94026224,P32_ratio_accel
688535,华海诚科,153.52,0.5608,0.887,0.672,0.269,0.528,0.489,0.5,0.967,0.5,0.962,0.874,0.337,0.05,0.41,14.6,1.33,217.94977561,P32_ratio_accel
300052,中青宝,13.49,0.5605,0.933,0.342,0.568,0.752,0.458,0.5,0.891,0.5,0.932,0.263,0.345,0.05,13.55,24.52,3.14,35.32473998,P32_ratio_accel
688079,美迪凯,29.47,0.5604,0.857,0.601,0.437,0.528,0.523,0.5,0.648,0.5,0.925,0.926,0.7,0.05,-0.3,11.18,1.18,121.2791812,P32_ratio_accel
000795,英洛华,10.18,0.5604,0.885,0.825,0.31,0.745,0.15,0.5,0.924,0.5,0.769,0.918,0.398,0.05,3.46,6.82,1.66,113.63432269,P32_ratio_accel
603201,常润股份,20.39,0.5599,0.834,0.825,0.7,0.528,0.35,0.5,0.814,0.5,0.917,0.716,1.0,0.0,5.76,8.68,3.18,38.73686532,
603725,天安新材,11.13,0.5598,0.811,0.686,0.466,0.465,0.745,0.5,0.527,0.5,0.824,0.752,0.7,0.05,0.0,7.33,1.68,33.93065978,P32_ratio_accel
300187,永清环保,5.3,0.5598,0.82,0.742,0.39,0.689,0.45,0.5,0.754,0.5,0.733,0.642,0.965,0.05,7.72,4.87,2.36,34.21797475,P32_ratio_accel
300895,铜牛信息,59.45,0.5592,0.872,0.825,0.178,0.752,0.442,0.5,0.859,0.5,0.904,0.877,0.264,0.05,5.17,7.41,1.81,83.70599059,P32_ratio_accel
688210,统联精密,41.65,0.559,0.697,0.575,0.72,0.528,0.74,0.5,0.46,0.5,0.844,0.731,0.7,0.05,-7.98,5.32,1.91,67.74810158,P32_ratio_accel
600976,健民集团,27.23,0.559,0.801,0.431,0.802,0.192,0.453,0.5,0.772,0.5,0.769,0.703,1.0,0.05,-3.41,3.27,1.78,41.77043878,P32_ratio_accel
603659,璞泰来,30.9,0.5586,0.889,0.605,0.431,0.787,0.186,0.5,0.892,0.5,0.81,0.901,0.394,0.05,4.75,2.62,1.4,662.43349888,P32_ratio_accel
300548,长芯博创,298.09,0.5583,0.925,0.75,0.255,0.528,0.557,0.5,0.996,0.5,0.961,0.007,0.528,0.05,5.71,10.18,1.15,878.33598061,P32_ratio_accel
002230,科大讯飞,43.88,0.5579,0.858,0.622,0.742,0.822,0.411,0.5,0.654,0.5,0.914,0.884,0.7,0.0,2.98,3.13,1.28,1054.03263423,
600456,宝钛股份,32.24,0.5573,0.875,0.762,0.448,0.836,0.179,0.5,0.567,0.5,0.769,0.784,0.7,0.05,5.36,4.24,1.86,154.03547857,P32_ratio_accel
300217,东方电热,4.72,0.5566,0.796,0.61,0.808,0.528,0.242,0.5,0.454,0.5,1.0,0.491,0.7,0.05,2.39,3.37,1.16,69.76051157,P32_ratio_accel
300438,鹏辉能源,84.88,0.5563,0.916,0.786,0.4,0.787,0.382,0.5,0.986,0.5,0.889,0.996,0.548,0.0,4.53,11.6,1.32,427.23784397,
605167,利柏特,15.15,0.5563,0.813,0.768,0.695,0.528,0.339,0.5,0.496,0.5,0.636,0.512,0.7,0.05,6.54,4.73,1.34,75.59386592,P32_ratio_accel
300553,集智股份,79.26,0.5554,0.839,0.771,0.338,0.528,0.465,0.5,0.821,0.5,0.898,0.427,0.902,0.05,2.14,8.66,1.34,87.99678462,P32_ratio_accel
688781,视涯科技-UW,53.85,0.5553,0.859,0.825,0.657,0.528,0.212,0.5,0.452,0.5,0.725,0.426,0.7,0.05,6.05,12.19,1.68,538.5,P32_ratio_accel
600330,天通股份,34.46,0.555,0.884,0.793,0.657,0.773,0.385,0.5,0.939,0.5,0.824,0.03,0.828,0.0,4.81,14.65,1.35,425.04149975,
603067,振华股份,39.7,0.555,0.951,0.575,0.613,0.801,0.15,0.5,0.979,0.5,0.955,0.93,0.588,0.0,10.0,7.4,2.14,299.94358539,
002824,和胜股份,39.7,0.5547,0.927,0.741,0.573,0.843,0.48,0.5,0.979,0.5,0.697,0.172,0.622,0.0,4.69,15.44,1.11,123.53799869,
300951,博硕科技,58.28,0.553,0.855,0.575,0.545,0.528,0.202,0.5,0.843,0.5,0.889,0.745,0.657,0.05,17.74,7.83,2.61,98.72666793,P32_ratio_accel
300380,安硕信息,33.63,0.553,0.855,0.575,0.453,0.822,0.261,0.5,0.811,0.5,0.771,0.588,0.882,0.05,10.52,6.34,2.22,46.55705252,P32_ratio_accel
301120,新特电气,20.22,0.5529,0.735,0.793,0.495,0.829,0.43,0.5,0.539,0.5,0.722,0.762,0.7,0.05,3.48,9.69,1.35,75.44604788,P32_ratio_accel
300821,东岳硅材,20.9,0.5522,0.614,0.726,1.0,0.815,0.36,0.5,0.812,0.5,0.537,0.894,1.0,0.0,5.45,10.33,1.04,250.8,
301501,恒鑫生活,27.22,0.5521,0.716,0.818,0.808,0.465,0.355,0.5,0.458,0.5,0.588,0.536,0.7,0.05,4.13,4.91,2.37,40.25838,P32_ratio_accel
603262,技源集团,30.44,0.552,0.857,0.707,0.41,0.612,0.229,0.5,0.808,0.5,0.857,0.705,0.732,0.05,6.77,21.3,3.53,121.763044,P32_ratio_accel
002182,宝武镁业,14.29,0.5515,0.872,0.706,0.56,0.836,0.164,0.5,0.479,0.5,0.615,0.727,0.7,0.05,5.07,3.86,1.39,141.72701292,P32_ratio_accel
300919,中伟新材,51.23,0.5512,0.931,0.563,0.341,0.787,0.163,0.5,0.891,0.5,0.841,0.847,0.521,0.05,5.32,2.34,1.31,533.94665145,P32_ratio_accel
300063,天龙集团,9.79,0.5512,0.828,0.825,0.571,0.759,0.173,0.5,0.489,0.5,0.8,0.393,0.7,0.05,3.6,7.01,1.65,74.25980799,P32_ratio_accel
002446,盛路通信,11.76,0.5507,0.785,0.617,0.658,0.528,0.534,0.5,0.97,0.5,0.969,0.897,0.833,0.0,0.34,10.3,1.09,107.65288914,
300286,安科瑞,30.6,0.5505,0.838,0.631,0.471,0.829,0.374,0.5,0.543,0.5,0.792,0.703,0.7,0.05,8.94,7.41,1.63,76.74010443,P32_ratio_accel
002080,中材科技,84.32,0.55,0.857,0.697,0.587,0.696,0.366,0.5,0.994,0.5,0.833,0.961,0.445,0.0,4.68,4.42,1.13,1414.99380603,
300736,百邦科技,36.94,0.5495,0.875,0.733,0.465,0.717,0.535,0.5,0.927,0.5,0.762,0.922,0.621,0.0,3.82,7.55,1.07,47.25893929,
600237,铜峰电子,12.6,0.549,0.9,0.774,0.617,0.528,0.15,0.5,0.575,0.5,0.846,0.039,0.7,0.05,3.28,16.47,1.26,79.44170913,P32_ratio_accel
300846,首都在线,24.63,0.5487,0.972,0.725,0.481,0.752,0.492,0.5,0.955,0.5,1.0,0.987,1.0,-0.04,7.93,18.19,3.02,124.20321969,P32_extreme
600550,保变电气,13.05,0.5483,0.814,0.606,0.461,0.829,0.355,0.5,0.623,0.5,0.806,0.772,0.7,0.05,4.65,3.25,1.16,240.31946664,P32_ratio_accel
600230,沧州大化,15.43,0.5483,0.828,0.746,0.463,0.815,0.289,0.5,0.474,0.5,0.821,0.665,0.7,0.05,7.75,4.95,1.93,63.87418461,P32_ratio_accel
300357,我武生物,22.02,0.5483,0.797,0.575,0.457,0.528,0.384,0.5,0.789,0.5,0.95,0.712,1.0,0.05,3.62,2.38,1.35,115.2931968,P32_ratio_accel
603083,剑桥科技,235.99,0.548,0.979,0.515,0.735,0.528,0.15,0.5,0.998,0.5,0.98,0.3,1.0,0.0,10.0,13.02,1.22,869.03405524,
300222,科大智能,15.21,0.5479,0.96,0.775,0.476,0.829,0.217,0.5,0.655,0.5,0.931,0.964,0.7,0.0,7.26,13.19,1.39,118.37657569,
301349,信德新材,66.35,0.5475,0.703,0.729,0.77,0.787,0.463,0.5,0.883,0.5,0.476,0.906,1.0,0.0,2.66,7.26,1.05,94.54774148,
300571,平治信息,49.17,0.5474,0.89,0.607,0.513,0.682,0.306,0.5,0.958,0.5,0.955,0.99,1.0,0.0,6.66,24.09,1.88,68.60606216,
603093,南华期货,21.88,0.5471,0.898,0.614,0.418,0.731,0.15,0.5,0.905,0.5,1.0,0.371,0.413,0.05,8.21,4.23,1.38,157.03820659,P32_ratio_accel
603308,应流股份,69.26,0.547,0.787,0.648,0.571,0.528,0.525,0.5,0.968,0.5,0.938,0.989,1.0,0.0,1.58,4.75,1.01,470.30849589,
920402,硅烷科技,13.8,0.547,0.827,0.485,0.519,0.815,0.399,0.5,0.845,0.5,0.791,0.528,0.351,0.05,13.11,10.17,1.08,58.24428925,P32_ratio_accel
300538,同益股份,19.0,0.5467,0.841,0.619,0.45,0.528,0.193,0.5,0.791,0.5,0.938,0.722,1.0,0.05,5.5,23.77,2.23,34.56452887,P32_ratio_accel
688800,瑞可达,97.91,0.5466,0.656,0.726,0.808,0.717,0.765,0.5,0.618,0.5,0.619,0.971,0.7,0.0,0.71,6.28,1.6,281.57329075,
300774,倍杰特,14.49,0.5455,0.782,0.825,0.471,0.689,0.308,0.5,0.488,0.5,0.8,0.73,0.7,0.05,6.78,14.57,1.98,59.22985433,P32_ratio_accel
688313,仕佳光子,182.55,0.5439,0.867,0.748,0.724,0.528,0.521,0.5,0.678,0.5,0.941,0.169,0.7,0.0,4.05,7.82,1.14,825.10104176,
301525,儒竞科技,51.03,0.5437,0.69,0.451,0.598,0.528,0.709,0.5,0.702,0.5,0.766,0.7,1.0,0.05,-4.78,4.44,1.14,67.37821319,P32_ratio_accel
688693,锴威特,103.88,0.5434,0.617,0.575,0.945,0.528,0.617,0.5,0.816,0.5,0.752,0.905,1.0,0.0,-2.99,12.71,1.64,76.54315839,
301055,张小泉,40.19,0.5427,0.731,0.75,0.757,0.465,0.494,0.5,0.822,0.5,0.765,0.756,1.0,0.0,3.16,5.62,1.15,62.6964,
300444,双杰电气,14.07,0.5422,0.935,0.76,0.51,0.829,0.216,0.5,0.636,0.5,0.903,0.913,0.7,0.0,7.65,11.01,1.99,113.21004666,
002976,瑞玛精密,29.0,0.5421,0.899,0.779,0.346,0.528,0.624,0.5,0.923,0.5,0.967,0.9,0.365,0.0,2.22,16.5,1.36,43.41319923,
688733,壹石通,46.2,0.5418,0.934,0.774,0.299,0.787,0.493,0.5,0.951,0.5,0.857,0.956,0.211,0.0,2.9,12.99,1.26,92.29613778,
000969,安泰科技,26.43,0.5417,0.938,0.767,0.375,0.745,0.372,0.5,0.96,0.5,0.962,0.926,0.043,0.0,5.38,9.64,1.23,277.65227663,
