代码,名称,类型
sh.511620,国泰瞬利货币A,ETF
sh.511650,华夏快线货币ETFE,ETF
sh.511660,建信现金添益货币H,ETF
sh.511670,华泰紫金天天金货币ETFA,ETF
sh.511690,大成添益交易型货币E,ETF
sh.511700,平安日鑫E,ETF
sh.511770,金鹰增益货币E,ETF
sh.511800,易方达货币E,ETF
sh.511810,南方理财金交易型货币H,ETF
sh.511820,鹏华添利交易型货币B,ETF
sh.511830,华泰柏瑞交易货币A,ETF
sh.511850,招商财富宝交易型货币E,ETF
sh.511860,博时保证金货币ETFA,ETF
sh.511880,银华日利A,ETF
sh.511900,富国收益宝交易型货币H,ETF
sh.511910,融通易支付货币E,ETF
sh.511920,广发货币E,ETF
sh.511930,国联日盈A,ETF
sh.511950,广发添利货币A,ETF
sh.511960,嘉实快线货币H,ETF
sh.511970,国寿安保货币E,ETF
sh.511980,汇添富添富通货币E,ETF
sh.511990,华宝添益A,ETF
sh.512000,华宝中证全指证券公司ETF,ETF
sh.512010,易方达沪深300医药ETF,ETF
sh.512020,鹏华中证A500ETF,ETF
sh.512030,易方达中证A50增强策略ETF,ETF
sh.512040,富国中证价值ETF,ETF
sh.512050,华夏中证A500ETF,ETF
sh.512060,天弘中证A100ETF,ETF
sh.512070,易方达沪深300非银ETF,ETF
sh.512080,中金中证A500ETF,ETF
sh.512090,易方达MSCI中国A股国际通ETF,ETF
sh.512100,南方中证1000ETF,ETF
sh.512120,华安中证细分医药ETF,ETF
sh.512130,鹏华中证全指自由现金流ETF,ETF
sh.512140,华安中证全指电力公用事业ETF,ETF
sh.512150,富时中国A50ETF,ETF
sh.512160,南方MSCI中国A股国际通ETF,ETF
sh.512170,华宝中证医疗ETF,ETF
sh.512180,建信MSCI中国A股国际通ETF,ETF
sh.512190,浙商汇金中证浙江凤凰行动50ETF,ETF
sh.512200,南方中证房地产ETF,ETF
sh.512220,景顺长城中证科技传媒通信150ETF,ETF
sh.512240,鹏华中证A50ETF,ETF
sh.512250,招商中证A50ETF,ETF
sh.512260,华安中证500低波ETF,ETF
sh.512290,国泰中证生物医药ETF,ETF
sh.512330,南方中证500信息技术ETF,ETF
sh.512360,平安MSCI中国A股国际ETF,ETF
sh.512370,华夏中证A500增强策略ETF,ETF
sh.512380,银华MSCI中国A股ETF,ETF
sh.512390,平安MSCI中国A股低波动ETF,ETF
sh.512400,南方中证申万有色金属ETF,ETF
sh.512430,华泰柏瑞中证家居家电ETF,ETF
sh.512450,广发中证畜牧养殖产业ETF,ETF
sh.512460,华夏中证电池主题ETF,ETF
sh.512480,国联安半导体ETF,ETF
sh.512500,华夏中证500ETF,ETF
sh.512510,华泰柏瑞中证500ETF,ETF
sh.512520,华泰柏瑞MSCI中国A股国际通ETF,ETF
sh.512530,建信沪深300红利ETF,ETF
sh.512550,嘉实富时中国A50ETF,ETF
sh.512560,易方达中证军工ETF,ETF
sh.512570,易方达中证全指证券公司ETF,ETF
sh.512580,广发中证环保ETF,ETF
sh.512600,嘉实中证主要消费ETF,ETF
sh.512620,天弘中证农业主题ETF,ETF
sh.512630,广发中证卫星产业ETF,ETF
sh.512640,嘉实中证金融地产ETF,ETF
sh.512650,添富中证长三角ETF,ETF
sh.512660,国泰中证军工ETF,ETF
sh.512670,鹏华中证国防ETF,ETF
sh.512680,广发中证军工ETF,ETF
sh.512690,鹏华中证酒ETF,ETF
sh.512700,南方中证银行ETF,ETF
sh.512710,富国中证军工龙头ETF,ETF
sh.512720,国泰中证计算机主题ETF,ETF
sh.512730,鹏华中证银行ETF,ETF
sh.512750,嘉实中证锐联基本面50ETF,ETF
sh.512760,国泰CES芯片ETF,ETF
sh.512770,华夏战略新兴成指ETF,ETF
sh.512800,华宝中证银行ETF,ETF
sh.512810,华宝中证军工ETF,ETF
sh.512820,汇添富中证银行ETF,ETF
sh.512870,南华中证杭州湾区ETF,ETF
sh.512880,国泰中证全指证券公司ETF,ETF
sh.512890,华泰柏瑞中证红利低波动ETF,ETF
sh.512900,南方中证全指证券公司ETF,ETF
sh.512910,广发中证A100ETF,ETF
sh.512930,平安人工智能ETF,ETF
sh.512940,华安中证有色金属矿业主题ETF,ETF
sh.512950,华夏中证央企ETF,ETF
sh.512960,博时央企结构调整ETF,ETF
sh.512970,平安粤港澳大湾区发展主题ETF,ETF
sh.512980,广发中证传媒ETF,ETF
sh.512990,华夏MSCI中国A股国际通ETF,ETF
sh.513000,易方达奥明日经225ETF(QDII),ETF
sh.513010,易方达恒生科技ETF(QDII),ETF
sh.513020,国泰中证港股通科技ETF,ETF
sh.513030,华安德国(DAX)ETF(QDII),ETF
sh.513040,易方达中证港股通互联网ETF,ETF
sh.513050,易方达中证海外中国互联网50(QDII-ETF),ETF
sh.513060,博时恒生医疗保健(QDII-ETF),ETF
sh.513070,易方达中证港股通消费主题ETF,ETF
sh.513080,华安法国CAC40ETF(QDII),ETF
sh.513090,易方达中证香港证券投资主题ETF,ETF
sh.513100,国泰纳斯达克100(QDII-ETF),ETF
sh.513110,华泰柏瑞纳斯达克100ETF(QDII),ETF
sh.513120,广发中证香港创新药(QDII-ETF),ETF
sh.513130,华泰柏瑞南方东英恒生科技指数ETF(QDII),ETF
sh.513140,华泰柏瑞中证港股通金融服务ETF(QDII),ETF
sh.513150,华泰柏瑞中证港股通科技ETF,ETF
sh.513160,银华恒生港股通中国科技ETF,ETF
sh.513170,鹏华恒生中国央企(QDII),ETF
sh.513180,华夏恒生科技ETF(QDII),ETF
sh.513190,华夏中证港股通内地金融ETF,ETF
sh.513200,易方达中证港股通医药卫生综合ETF,ETF
sh.513210,易方达恒生ETF(QDII),ETF
sh.513220,招商中证全球中国互联网ETF(QDII),ETF
sh.513230,华夏中证港股通消费主题ETF,ETF
sh.513240,华安中证港股通信息技术综合ETF,ETF
sh.513260,汇添富恒生科技ETF(QDII),ETF
sh.513280,汇添富恒生生物科技ETF(QDII),ETF
sh.513290,汇添富纳斯达克生物科技ETF,ETF
sh.513300,华夏纳斯达克100ETF(QDII),ETF
sh.513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),ETF
sh.513320,易方达恒生港股通新经济ETF,ETF
sh.513330,华夏恒生互联网科技业ETF(QDII),ETF
sh.513350,富国标普石油天然气勘探及生产精选行业ETF(QDII),ETF
sh.513360,博时全球中国教育(QDII-ETF),ETF
sh.513380,广发恒生科技(QDII-ETF),ETF
sh.513390,博时纳斯达克100ETF,ETF
sh.513400,鹏华道琼斯工业平均ETF(QDII),ETF
sh.513500,博时标普500ETF(QDII),ETF
sh.513520,华夏野村日经225ETF(QDII),ETF
sh.513530,华泰柏瑞中证港股通高股息投资ETF(QDII),ETF
sh.513550,华泰柏瑞中证港股通50ETF,ETF
sh.513560,兴银中证港股通科技ETF,ETF
sh.513580,华安恒生科技(QDII-ETF),ETF
sh.513590,鹏华中证港股通消费主题ETF,ETF
sh.513600,南方恒指ETF,ETF
sh.513620,银华中证港股通医疗主题ETF,ETF
sh.513630,摩根标普港股通低波红利ETF,ETF
sh.513650,南方标普500ETF(QDII),ETF
sh.513660,华夏沪港通恒生ETF,ETF
sh.513690,博时恒生高股息ETF,ETF
sh.513700,鹏华中证港股通医药卫生综合交易ETF,ETF
sh.513720,国泰中证港股通互联网ETF,ETF
sh.513730,华泰柏瑞南方东英新交所泛东南亚科技ETF(QDII),ETF
sh.513750,广发中证港股通非银ETF,ETF
sh.513770,华宝中证港股通互联网ETF,ETF
sh.513780,景顺长城中证港股通创新药ETF,ETF
sh.513800,南方顶峰TOPIX(ETF-QDII),ETF
sh.513810,华夏中证香港内地国有企业ETF(QDII),ETF
sh.513820,汇添富中证港股通高股息投资ETF,ETF
sh.513830,嘉实中证港股通高股息投资ETF,ETF
sh.513850,易方达MSCI美国50ETF(QDII),ETF
sh.513860,海富通中证港股通科技ETF,ETF
sh.513870,富国纳斯达克100ETF(QDII),ETF
sh.513880,华安日经225ETF(QDII),ETF
sh.513890,摩根恒生科技ETF(QDII),ETF
sh.513900,华安CES港股通精选100ETF,ETF
sh.513910,华夏中证港股通央企红利ETF,ETF
sh.513920,华安恒生港股通中国央企红利ETF,ETF
sh.513930,华泰柏瑞恒生生物科技ETF,ETF
sh.513950,富国恒生港股通高股息低波动ETF(QDII),ETF
sh.513970,景顺长城恒生消费ETF(QDII),ETF
sh.513980,景顺长城中证港股通科技ETF,ETF
sh.513990,招商上证港股通ETF,ETF
sh.515000,华宝中证科技龙头ETF,ETF
sh.515010,华夏中证全指证券公司ETF,ETF
sh.515020,华夏中证银行ETF,ETF
sh.515030,华夏中证新能源汽车ETF,ETF
sh.515050,华夏中证5G通信主题ETF,ETF
sh.515060,华夏中证全指房地产ETF,ETF
sh.515070,华夏中证人工智能主题ETF,ETF
sh.515080,招商中证红利ETF,ETF
sh.515090,博时可持续发展100ETF,ETF
sh.515100,景顺长城中证红利低波动100ETF,ETF
sh.515110,易方达中证国企一带一路ETF,ETF
sh.515120,广发中证创新药产业ETF,ETF
sh.515130,博时沪深300ETF,ETF
sh.515150,富国中证国企一带一路ETF,ETF
sh.515160,招商MSCI中国A股国际通ETF,ETF
sh.515170,华夏中证细分食品饮料产业主题ETF,ETF
sh.515180,易方达中证红利ETF,ETF
sh.515190,中银证券中证500ETF,ETF
sh.515200,申万菱信中证研发创新100ETF,ETF
sh.515210,国泰中证钢铁ETF,ETF
sh.515220,国泰中证煤炭ETF,ETF
sh.515230,国泰中证全指软件ETF,ETF
sh.515250,富国中证智能汽车主题ETF,ETF
sh.515260,华宝中证电子50ETF,ETF
sh.515290,天弘中证银行ETF,ETF
sh.515300,嘉实沪深300红利低波动ETF,ETF
sh.515310,添富沪深300ETF,ETF
sh.515320,华安中证电子50ETF,ETF
sh.515330,天弘沪深300ETF,ETF
sh.515350,民生加银沪深300ETF,ETF
sh.515360,方正富邦沪深300ETF,ETF
sh.515370,华夏中证光伏产业ETF,ETF
sh.515380,泰康沪深300ETF,ETF
sh.515390,华安沪深300ETF,ETF
sh.515400,富国中证大数据产业ETF,ETF
sh.515450,南方标普中国A股大盘红利低波50ETF,ETF
sh.515460,南方中证全指红利质量ETF,ETF
sh.515530,泰康中证500ETF,ETF
sh.515550,国联中证500ETF,ETF
sh.515560,建信中证全指证券公司ETF,ETF
sh.515580,华泰柏瑞中证科技100ETF,ETF
sh.515590,前海开源中证500等权ETF,ETF
sh.515600,广发中证央企创新驱动ETF,ETF
sh.515630,鹏华中证800证保ETF,ETF
sh.515640,华夏中证全指家用电器ETF,ETF
sh.515650,富国中证消费50ETF,ETF
sh.515660,国联安沪深300ETF,ETF
sh.515680,嘉实央企创新驱动ETF,ETF
sh.515700,平安中证新能源汽车产业ETF,ETF
sh.515710,华宝中证细分食品饮料产业主题ETF,ETF
sh.515720,富国中证金融科技主题ETF,ETF
sh.515730,永赢中证家居家电ETF,ETF
sh.515750,富国中证科技50策略ETF,ETF
sh.515760,华夏中证浙江国资创新发展ETF,ETF
sh.515770,摩根MSCI中国A股ETF,ETF
sh.515790,华泰柏瑞中证光伏产业ETF,ETF
sh.515800,添富中证800ETF,ETF
sh.515810,易方达中证800ETF,ETF
sh.515850,富国中证全指证券公司ETF,ETF
sh.515860,嘉实新兴科技100ETF,ETF
sh.515880,国泰中证全指通信设备ETF,ETF
sh.515890,博时中证红利ETF,ETF
sh.515900,博时央企创新驱动ETF,ETF
sh.515910,中金MSCI中国A股国际质量ETF,ETF
sh.515920,博时智能消费ETF,ETF
sh.515950,富国中证医药50ETF,ETF
sh.515960,嘉实医药健康100ETF,ETF
sh.515970,华夏中证工程机械主题ETF,ETF
sh.515980,华富中证人工智能产业ETF,ETF
sh.515990,添富中证国企一带一路ETF,ETF
sh.516000,华夏中证大数据产业ETF,ETF
sh.516010,国泰中证动漫游戏ETF,ETF
sh.516020,华宝化工ETF,ETF
sh.516050,工银中证科技龙头ETF,ETF
sh.516060,工银瑞信中证创新药产业ETF,ETF
sh.516070,易方达中证内地低碳经济主题ETF,ETF
sh.516080,易方达中证创新药产业ETF,ETF
sh.516090,易方达中证新能源ETF,ETF
sh.516100,华夏中证金融科技主题ETF,ETF
sh.516110,国泰中证800汽车与零部件ETF,ETF
sh.516120,富国中证细分化工产业主题ETF,ETF
sh.516130,华宝中证消费龙头ETF,ETF
sh.516150,嘉实中证稀土产业ETF,ETF
sh.516160,南方中证新能源ETF,ETF
sh.516180,平安中证光伏产业ETF,ETF
sh.516190,华夏中证文娱传媒ETF,ETF
sh.516200,华安中证全指证券公司ETF,ETF
sh.516210,华安中证银行ETF,ETF
sh.516220,国泰中证细分化工产业主题ETF,ETF
sh.516230,招商中证光伏产业ETF,ETF
sh.516250,富国中证工程机械主题ETF,ETF
sh.516260,华夏中证物联网主题ETF,ETF
sh.516270,华安中证内地新能源主题ETF,ETF
sh.516290,汇添富中证光伏产业ETF,ETF
sh.516300,华泰柏瑞中证1000ETF,ETF
sh.516310,易方达中证银行ETF,ETF
sh.516320,华夏中证装备产业ETF,ETF
sh.516330,华泰柏瑞中证物联网主题ETF,ETF
sh.516350,易方达中证芯片产业ETF,ETF
sh.516360,华宝新材料ETF,ETF
sh.516370,汇添富中证全指电力公用事业ETF,ETF
sh.516380,华宝智能电动汽车ETF,ETF
sh.516390,汇添富中证新能源汽车产业ETF,ETF
sh.516460,鹏华中证800自由现金流ETF,ETF
sh.516500,华夏中证生物科技主题ETF,ETF
sh.516510,易方达中证云计算与大数据主题ETF,ETF
sh.516520,华泰柏瑞中证智能汽车主题ETF,ETF
sh.516530,银华中证现代物流ETF,ETF
sh.516550,嘉实中证大农业ETF,ETF
sh.516560,华宝中证养老产业ETF,ETF
sh.516570,易方达中证石化产业ETF,ETF
sh.516580,博时中证新能源ETF,ETF
sh.516590,易方达中证智能电动汽车ETF,ETF
sh.516600,工银瑞信中证消费服务领先ETF,ETF
sh.516610,大成中证全指医疗保健设备与服务ETF,ETF
sh.516620,国泰中证影视主题ETF,ETF
sh.516630,华夏中证云计算与大数据主题ETF,ETF
sh.516640,富国中证芯片产业ETF,ETF
sh.516650,华夏中证细分有色金属产业主题ETF,ETF
sh.516660,华安中证新能源汽车ETF,ETF
sh.516670,招商中证畜牧养殖ETF,ETF
sh.516700,华宝大数据ETF,ETF
sh.516710,华夏中证新材料主题ETF,ETF
sh.516720,浦银安盛中证ESG120策略ETF,ETF
sh.516730,浦银安盛中证证券公司30ETF,ETF
sh.516750,富国中证全指建筑材料ETF,ETF
sh.516760,平安中证畜牧养殖ETF,ETF
sh.516770,华泰柏瑞中证动漫游戏ETF,ETF
sh.516780,华泰柏瑞中证稀土产业ETF,ETF
sh.516790,华泰柏瑞中证全指医疗保健设备与服务ETF,ETF
sh.516800,华宝中证智能制造ETF,ETF
sh.516810,华夏中证农业主题ETF,ETF
sh.516820,平安中证医药及医疗器械创新ETF,ETF
sh.516830,富国沪深300ESG基准ETF,ETF
sh.516840,南方中证全指汽车ETF,ETF
sh.516850,华夏中证新能源ETF,ETF
sh.516860,博时金融科技ETF,ETF
sh.516880,银华中证光伏产业ETF,ETF
sh.516890,平安中证新材料主题ETF,ETF
sh.516900,华安中证申万食品饮料ETF,ETF
sh.516910,富国中证现代物流ETF,ETF
sh.516920,汇添富中证芯片产业ETF,ETF
sh.516930,民生加银中证生物科技主题ETF,ETF
sh.516950,银华中证基建ETF,ETF
sh.516960,国泰中证细分机械设备产业主题ETF,ETF
sh.516970,广发中证基建工程ETF,ETF
sh.516980,华富中证证券公司先锋策略ETF,ETF
sh.517000,银华中证沪港深500ETF,ETF
sh.517010,易方达中证沪港深500ETF,ETF
sh.517030,易方达中证沪港深300ETF,ETF
sh.517050,华泰柏瑞中证沪港深互联网ETF,ETF
sh.517080,汇添富中证沪港深500ETF,ETF
sh.517090,国泰富时中国国企开放共赢ETF,ETF
sh.517100,富国中证沪港深500ETF,ETF
sh.517110,国泰中证沪港深创新药产业ETF,ETF
sh.517120,华泰柏瑞中证沪港深创新药产业ETF,ETF
sh.517130,嘉实中证沪港深云计算产业ETF,ETF
sh.517160,南方中证长江保护主题ETF,ETF
sh.517170,华夏中证沪港深500ETF,ETF
sh.517180,南方富时中国国企开放共赢ETF,ETF
sh.517200,嘉实中证沪港深互联网ETF,ETF
sh.517300,国寿安保中证沪港深300ETF,ETF
sh.517330,易方达中证长江保护主题ETF,ETF
sh.517350,广发中证沪港深科技龙头ETF,ETF
sh.517360,华安中证沪港深科技100ETF,ETF
sh.517380,天弘恒生沪深港创新药精选50ETF,ETF
sh.517390,天弘中证沪港深云计算产业ETF,ETF
sh.517400,国泰中证沪深港黄金产业股票ETF,ETF
sh.517520,永赢中证沪深港黄金产业股票ETF,ETF
sh.517550,招商中证沪港深消费龙头ETF,ETF
sh.517660,天弘中证沪港深物联网主题ETF,ETF
sh.517770,浦银安盛中证沪港深游戏及文化传媒ETF,ETF
