signal,count,win_rate,avg_return
+P33_margin_strong -P36_overheat,16,0.5,-1.5475
+P33_margin_strong,18,0.4444,-1.4311
+P33_margin_strong -P35_short_pressure,18,0.4444,-1.4311
+P32_ratio_accel+P35_short_cover,12,0.4167,-0.9108
+P34_gap_strong+P37_momentum_up,57,0.386,-0.1881
+P34_gap_strong -P36_overheat,98,0.3571,-0.5897
+P34_gap_strong+P35_short_cover,26,0.3462,-0.9646
+P37_momentum_up -P35_short_pressure,1965,0.3333,-0.232
+P37_momentum_up,1974,0.3328,-0.2354
+P37_momentum_up -P36_overheat,1974,0.3328,-0.2354
+P34_gap_strong,107,0.3271,-0.7207
+P34_gap_strong -P35_short_pressure,107,0.3271,-0.7207
+P37_momentum_up+P35_short_cover,76,0.2895,-0.6399
+P37_momentum_up+P32_ratio_accel,162,0.2654,-0.4809
+P35_short_pressure,77,0.2597,-0.8042
+P32_ratio_accel -P36_overheat,192,0.2552,-0.6291
+P32_ratio_accel -P35_short_pressure,205,0.2439,-0.6655
+P35_short_cover -P36_overheat,271,0.2435,-0.7218
+P32_ratio_accel,206,0.2427,-0.6831
+P35_short_cover,288,0.2361,-0.7683
+P35_short_cover -P35_short_pressure,288,0.2361,-0.7683
+P37_momentum_down,652,0.2009,-0.7227
+P37_momentum_up+P33_margin_strong,6,0.1667,-3.3483
+P36_overheat,73,0.0822,-1.2559
+P34_gap_strong+P32_ratio_accel,6,0.0,-1.7333
